"sig1","sig2","n11","n10","n01","n00","n","phi","log_OR","p_value","p_adj"
"ID_D/InsDel_D","ID_N/InsDel_N_beta",6,165,2634,4170,6975,-0.11224645217256,-2.7778264958832,3.62527466612105e-27,1.48636261310963e-25
"C_ID8/InsDel8","ID_B/InsDel_B",2,347,1222,5404,6975,-0.102420482480793,-3.44813993562346,5.03939352306216e-27,1.97223537425296e-25
"C_ID1/InsDel1a","C_ID2/InsDel2b",5,3807,89,3074,6975,-0.115823167007006,-3.00332105241818,5.35301565214396e-25,2.00388977238954e-23
"C_ID3/InsDel3b","ID_N/InsDel_N_beta",171,616,2469,3719,6975,-0.118539244325251,-0.869901506347688,1.35549734805471e-24,4.86284673614628e-23
"C_ID4/InsDel4","C_ID9/InsDel9",229,544,912,5290,6975,0.126618053752928,0.893515040015154,6.79521294746703e-23,2.34027133910764e-21
"C_ID13/InsDel13","ID_H/InsDel_H",26,314,21,6614,6975,0.192949623647211,3.2551272096205,1.49038934299769e-22,4.93548163200387e-21
"C_ID7/InsDel7","C_ID19/InsDel19b",3,154,2208,4610,6975,-0.0971466987851712,-3.05140836889982,4.36604253972505e-22,1.39228245433454e-20
"C_ID1/InsDel1c","ID_N/InsDel_N_beta",116,457,2524,3878,6975,-0.108594171254039,-0.938480154077865,4.75428073908057e-21,1.46194132726728e-19
"C_ID6/InsDel6","ID_B/InsDel_B",39,630,1185,5121,6975,-0.100346144822182,-1.30692974512677,1.50244168007187e-20,4.4606975397996e-19
"C_ID3/InsDel3b","C_ID13/InsDel13",0,787,340,5848,6975,-0.0807293040586829,-4.51848517975854,1.64787683232451e-18,4.72940650877134e-17
"C_ID1/InsDel1a","ID_J/InsDel_J",15,3797,89,3074,6975,-0.0994184142899391,-1.96459927043201,1.24623002718707e-17,3.46130339809054e-16
"ID_J/InsDel_J","ID_N/InsDel_N_beta",3,101,2637,4234,6975,-0.0886923219763405,-2.89386207140914,1.89444513075964e-17,5.09724142995016e-16
"C_ID8/InsDel8","ID_N/InsDel_N_beta",61,288,2579,4047,6975,-0.096393117877846,-1.0951540862686,2.75546016845074e-17,7.18924607586693e-16
"C_ID2/InsDel2a","C_ID19/InsDel19a",23,215,48,6689,6975,0.161894572534895,2.71077012557655,3.92127942369164e-17,9.93006348176031e-16
"ID_B/InsDel_B","ID_N/InsDel_N_beta",338,886,2302,3449,6975,-0.0973549646644686,-0.558523229305231,1.37090153613057e-16,3.37241777888121e-15
"C_ID5/InsDel5a","C_ID13/InsDel13",10,1163,330,5472,6975,-0.0839828291611836,-1.90092855547359,2.91441103972874e-16,6.97029973668457e-15
"C_ID9/InsDel9","ID_A/InsDel_A_alpha",1,1140,218,5616,6975,-0.0774001414026795,-3.3870789750703,3.55930847257555e-16,8.2826070132096e-15
"C_ID9/InsDel9","ID_N/InsDel_N_beta",312,829,2328,3506,6975,-0.0957865447807208,-0.56682453489951,4.07487890301328e-16,9.23281772498536e-15
"C_ID2/InsDel2c","ID_D/InsDel_D",22,74,149,6730,6975,0.156332709861643,2.60982450507827,5.33926569936786e-16,1.17874558132198e-14
"C_ID1/InsDel1a","ID_D/InsDel_D",42,3770,129,3034,6975,-0.0958229702917542,-1.33133775757601,1.00681456283859e-15,2.16716834651007e-14
"C_ID3/InsDel3b","C_ID19/InsDel19b",154,633,2057,4131,6975,-0.0929759905220506,-0.713917019833379,1.04334662512061e-15,2.19102791275328e-14
"C_ID10/InsDel10","ID_D/InsDel_D",28,156,143,6648,6975,0.135879315953527,2.13265958639148,3.39159905044668e-15,6.95277805341569e-14
"C_ID2/InsDel2b","C_ID19/InsDel19b",1,93,2210,4671,6975,-0.0769522535628094,-3.38423484321976,1.19141284637429e-14,2.38559642029828e-13
"C_ID13/InsDel13","C_ID19/InsDel19b",173,167,2038,4597,6975,0.0933274028615038,0.848492682340961,5.76628844169973e-14,1.12835780643261e-12
"C_ID1/InsDel1b","ID_N/InsDel_N_beta",17,136,2623,4199,6975,-0.0825604743792524,-1.58366756725663,8.53050497456626e-14,1.63216995180035e-12
"C_ID3/InsDel3b","C_ID14/InsDel14",3,784,318,5870,6975,-0.0718411621876052,-2.49821099061967,1.77349528890827e-13,3.31952052989135e-12
"C_ID1/InsDel1a","ID_B/InsDel_B",784,3028,440,2723,6975,0.0871090145182966,0.47098649719958,2.50292830678884e-13,4.58515164286211e-12
"C_ID5/InsDel5a","C_ID5/InsDel5c",0,1173,157,5645,6975,-0.0682309583971129,-4.18170460749613,3.45439575982323e-13,6.19632239418292e-12
"C_ID18/InsDel18","ID_N/InsDel_N_beta",64,19,2576,4316,6975,0.0888286426283557,1.71226375813932,3.8813862347599e-13,6.82015009822097e-12
"ID_N/InsDel_N_alpha","ID_N/InsDel_N_beta",0,60,2640,4275,6975,-0.0726920548306951,-4.31385778414772,4.00248476617551e-13,6.89227876735423e-12
"C_ID4/InsDel4","C_ID14/InsDel14",3,770,318,5884,6975,-0.071002571271765,-2.4778221069593,4.33721582506103e-13,7.32224083407363e-12
"C_ID4/InsDel4","ID_N/InsDel_N_beta",203,570,2437,3765,6975,-0.0843500614155545,-0.595939433750076,6.6106958265235e-13,1.09457867435322e-11
"C_ID2/InsDel2b","ID_D/InsDel_D",19,75,152,6729,6975,0.134237331089668,2.43337333894103,6.77170770441045e-13,1.10008308179196e-11
"C_ID9/InsDel9","C_ID14/InsDel14",12,1129,309,5525,6975,-0.0749363041312983,-1.62163076369562,6.92907362299038e-13,1.10480229433236e-11
"C_ID1/InsDel1a","C_ID5/InsDel5c",42,3770,115,3048,6975,-0.085046252051629,-1.21232440632631,9.06358104990317e-13,1.41886241526666e-11
"C_ID5/InsDel5a","C_ID6/InsDel6",52,1121,617,5185,6975,-0.0787630666060524,-0.933666704835028,1.44495130832316e-12,2.22161263654686e-11
"C_ID7/InsDel7","ID_B/InsDel_B",1,156,1223,5595,6975,-0.0674658272060486,-3.12734380249669,2.85242423759809e-12,4.30866187468764e-11
"C_ID13/InsDel13","ID_N/InsDel_N_beta",70,270,2570,4065,6975,-0.080563506088632,-0.88622308431598,3.47114845263759e-12,5.06552341986604e-11
"C_ID1/InsDel1a","ID_N/InsDel_N_alpha",7,3805,53,3110,6975,-0.0804306046106476,-2.16644253711207,3.44979717061523e-12,5.06552341986604e-11
"C_ID5/InsDel5a","C_ID19/InsDel19b",273,900,1938,3864,6975,-0.081415632955296,-0.501730713318033,4.12238086885299e-12,5.91561654680404e-11
"C_ID8/InsDel8","C_ID19/InsDel19b",55,294,2156,4470,6975,-0.0786192178307798,-0.939882260251778,4.45807444584961e-12,6.29246245553527e-11
"C_ID19/InsDel19b","ID_D/InsDel_D",16,2195,155,4609,6975,-0.0761212294519103,-1.50157577047588,4.58427216109316e-12,6.36622311403421e-11
"C_ID2/InsDel2b","ID_J/InsDel_J",15,79,89,6792,6975,0.139513555488999,2.69441871828461,5.02962278293334e-12,6.87381780334224e-11
"C_ID3/InsDel3b","C_ID4/InsDel4",35,752,738,5450,6975,-0.0753794210866964,-1.05502677554468,5.60272520731306e-12,7.53741625546335e-11
"C_ID12/InsDel12","ID_N/InsDel_N_beta",6,85,2634,4250,6975,-0.0740938456144624,-2.09837098663305,8.02658562010576e-12,1.06321387983247e-10
"C_ID12/InsDel12","C_ID19/InsDel19b",3,88,2208,4676,6975,-0.0701805130237831,-2.48000316868049,1.25881028957732e-11,1.64217524140314e-10
"C_ID1/InsDel1a","C_ID2/InsDel2c",20,3792,76,3087,6975,-0.0802512577161287,-1.52252958497458,1.28928095434195e-11,1.656822241326e-10
"C_ID5/InsDel5a","C_ID7/InsDel7",1,1172,156,5646,6975,-0.0656467471101419,-3.07569323902875,1.32264932363523e-11,1.67470745242637e-10
"C_ID5/InsDel5a","C_ID14/InsDel14",15,1158,306,5496,6975,-0.0713165298126355,-1.42739227030458,2.1530732685061e-11,2.68625717307863e-10
"C_ID5/InsDel5c","C_ID9/InsDel9",1,156,1140,5678,6975,-0.0644960236331335,-3.04237055126479,2.18394892120214e-11,2.68625717307863e-10
"C_ID8/InsDel8","C_ID13/InsDel13",48,301,292,6334,6975,0.094631733504973,1.24809527814639,2.83334512014252e-11,3.43592978653903e-10
"C_ID6/InsDel6","C_ID13/InsDel13",4,665,336,5970,6975,-0.0646879712626096,-2.12047343517024,8.42480581467883e-11,1.00746636200534e-09
"C_ID3/InsDel3b","ID_B/InsDel_B",206,581,1018,5170,6975,0.0808820098661245,0.589327879400538,1.08210314400895e-10,1.27628877670096e-09
"C_ID2/InsDel2b","ID_N/InsDel_N_beta",8,86,2632,4249,6975,-0.0707014870528014,-1.84121088651101,1.12861574981693e-10,1.31315967647618e-09
"C_ID10/InsDel10","ID_N/InsDel_N_beta",30,154,2610,4181,6975,-0.0731203987575832,-1.15133915275346,1.29479904942251e-10,1.48642930873704e-09
"C_ID19/InsDel19b","ID_J/InsDel_J",6,2205,98,4666,6975,-0.0685595645626862,-1.96879928581564,1.59121130120924e-10,1.80267490834363e-09
"C_ID5/InsDel5a","ID_D/InsDel_D",3,1170,168,5634,6975,-0.0638452342484769,-2.30269537683561,2.59525266202538e-10,2.90196434026474e-09
"C_ID3/InsDel3b","C_ID9/InsDel9",71,716,1070,5118,6975,-0.0707356533308777,-0.739945199238177,4.65440956486458e-10,5.13775209660051e-09
"C_ID7/InsDel7","C_ID9/InsDel9",2,155,1139,5679,6975,-0.0618830209679629,-2.5240813687594,4.81566621683076e-10,5.2484665983434e-09
"ID_B/InsDel_B","ID_D/InsDel_D",4,1220,167,5584,6975,-0.0633875927103393,-2.09617166234098,5.76902689431819e-10,6.20891519500995e-09
"C_ID1/InsDel1a","C_ID13/InsDel13",130,3682,210,2953,6975,-0.0746503598728799,-0.698713387949183,5.85225194471747e-10,6.22072706716264e-09
"C_ID1/InsDel1a","C_ID8/InsDel8",135,3677,214,2949,6975,-0.0736241770884255,-0.679935607080779,9.70374956014194e-10,1.0188937038149e-08
"C_ID19/InsDel19b","ID_B/InsDel_B",299,1912,925,3839,6975,-0.0720885668809284,-0.431288851388141,1.05221894454215e-09,1.09151868825397e-08
"C_ID2/InsDel2c","ID_N/InsDel_N_beta",10,86,2630,4249,6975,-0.0668175778870034,-1.62914177000654,1.80843452140132e-09,1.85364538443636e-08
"C_ID2/InsDel2a","C_ID7/InsDel7",23,215,134,6603,6975,0.093931942753681,1.67783040304828,2.48739728653837e-09,2.51958713377593e-08
"C_ID2/InsDel2a","ID_D/InsDel_D",24,214,147,6590,6975,0.0927644364248673,1.62991970055526,2.66385162993511e-09,2.66694913183038e-08
"C_ID14/InsDel14","C_ID18/InsDel18",19,302,64,6590,6975,0.0957891988619798,1.8850524614496,4.0472772423697e-09,4.00540885710381e-08
"C_ID9/InsDel9","C_ID13/InsDel13",20,1121,320,5514,6975,-0.0641114447558417,-1.15674347843042,4.38599121863119e-09,4.2912936809562e-08
"C_ID14/InsDel14","ID_B/InsDel_B",21,300,1203,5451,6975,-0.0635529197206115,-1.12673799691834,7.1547368282267e-09,6.92131233504221e-08
"C_ID9/InsDel9","ID_A/InsDel_A_beta",3,1138,151,5683,6975,-0.0585368939921947,-2.15996702283108,7.23482125614168e-09,6.92131233504221e-08
"C_ID5/InsDel5a","C_ID10/InsDel10",6,1167,178,5624,6975,-0.0596610199821144,-1.74051907962827,1.02050978015406e-08,9.65559253530378e-08
"C_ID10/InsDel10","C_ID19/InsDel19b",25,159,2186,4605,6975,-0.0640724982285063,-1.0884163204852,1.22174261571712e-08,1.14339173057874e-07
"C_ID10/InsDel10","ID_B/InsDel_B",7,177,1217,5574,6975,-0.059475520698993,-1.64266453712232,1.80346587626462e-08,1.66966034350951e-07
"C_ID5/InsDel5b","C_ID19/InsDel19b",2,61,2209,4703,6975,-0.0585258456859482,-2.44720577609711,2.61972407156131e-08,2.39955577193009e-07
"C_ID1/InsDel1c","C_ID14/InsDel14",4,569,317,6085,6975,-0.0557426226718388,-1.8874950331291,3.41575294490071e-08,3.09575082690475e-07
"ID_F/InsDel_F","ID_N/InsDel_N_beta",9,74,2631,4261,6975,-0.0611048668238749,-1.5774401416105,3.90672999349269e-08,3.50384846291375e-07
"C_ID2/InsDel2a","C_ID5/InsDel5a",12,226,1161,5576,6975,-0.0591737891045732,-1.32816723439071,4.43026000391215e-08,3.93242666326635e-07
"C_ID1/InsDel1c","C_ID9/InsDel9",142,431,999,5403,6975,0.0681281300135381,0.579621505987988,6.70081825167642e-08,5.88714746397286e-07
"C_ID19/InsDel19a","C_ID19/InsDel19b",4,67,2207,4697,6975,-0.0568070854441892,-1.9528804022927,1.15579548520172e-07,1.00519183106938e-06
"C_ID9/InsDel9","ID_B/InsDel_B",140,1001,1084,4750,6975,-0.0613688116002029,-0.486915841952197,1.23468129915433e-07,1.06306059857188e-06
"C_ID6/InsDel6","C_ID14/InsDel14",7,662,314,5992,6975,-0.0552745546756836,-1.53383764715007,1.5722367811044e-07,1.34029293913949e-06
"C_ID6/InsDel6","ID_N/InsDel_N_beta",192,477,2448,3858,6975,-0.0614469927833299,-0.45366509143766,1.90471430340914e-07,1.60780295611301e-06
"C_ID1/InsDel1c","C_ID5/InsDel5a",143,430,1030,5372,6975,0.0651037056314399,0.552636939518042,2.45393561665467e-07,2.05129957858221e-06
"C_ID5/InsDel5a","C_ID18/InsDel18",0,1173,83,5719,6975,-0.0493431141894825,-3.53410315974211,3.50592002522483e-07,2.90249725165248e-06
"C_ID2/InsDel2b","C_ID2/InsDel2c",10,84,86,6795,6975,0.0929151854994368,2.27849521625792,5.28818050223779e-07,4.33630801183499e-06
"C_ID5/InsDel5a","C_ID8/InsDel8",27,1146,322,5480,6975,-0.0557209036638237,-0.897434617205483,6.84213245998255e-07,5.55761891324998e-06
"C_ID1/InsDel1c","C_ID12/InsDel12",23,550,68,6334,6975,0.0714298923877999,1.37310588276131,7.1683059816496e-07,5.76814154224328e-06
"C_ID3/InsDel3b","ID_A/InsDel_A_alpha",5,782,214,5974,6975,-0.0512157820822607,-1.63079987725415,1.08006867619994e-06,8.61054750192726e-06
"C_ID8/InsDel8","C_ID14/InsDel14",1,348,320,6306,6975,-0.0472694173746535,-2.46871927192589,1.35190236464804e-06,1.06787884033207e-05
"C_ID1/InsDel1a","C_ID6/InsDel6",306,3506,363,2800,6975,-0.0583109158585945,-0.395381957924386,1.36650548658563e-06,1.06960111268203e-05
"C_ID5/InsDel5a","ID_J/InsDel_J",2,1171,102,5700,6975,-0.0489923309494652,-2.13130315537838,1.90430540472636e-06,1.47712338150396e-05
"C_ID14/InsDel14","ID_A/InsDel_A_alpha",27,294,192,6462,6975,0.0663921750174738,1.14258236666973,2.31410525554681e-06,1.77896841520161e-05
"C_ID1/InsDel1a","C_ID5/InsDel5b",16,3796,47,3116,6975,-0.0561040443962631,-1.25473834253844,2.74825855041966e-06,2.09402709018701e-05
"C_ID13/InsDel13","C_ID14/InsDel14",1,339,320,6315,6975,-0.0465423494640785,-2.44112890703728,3.24045214569014e-06,2.42611243255583e-05
"C_ID5/InsDel5a","C_ID19/InsDel19a",0,1173,71,5731,6975,-0.0455972789735493,-3.37685808999592,3.21535057553705e-06,2.42611243255583e-05
"C_ID19/InsDel19b","ID_N/InsDel_N_beta",925,1286,1715,3049,6975,0.0559991996543899,0.24592655972976,3.40860691734104e-06,2.53000909985399e-05
"C_ID5/InsDel5c","ID_B/InsDel_B",8,149,1216,5602,6975,-0.0496788751434149,-1.33999518588297,3.78189632989438e-06,2.7830878119992e-05
"C_ID2/InsDel2b","ID_B/InsDel_B",2,92,1222,5659,6975,-0.0473832483681076,-2.07848030592078,3.92583796622919e-06,2.86453092281638e-05
"C_ID2/InsDel2c","C_ID19/InsDel19b",11,85,2200,4679,6975,-0.0513878116670543,-1.25166268122735,4.28422999141445e-06,3.09976640555281e-05
"C_ID5/InsDel5a","ID_A/InsDel_A_beta",7,1166,147,5655,6975,-0.049300255486714,-1.40030444472766,5.35515320931201e-06,3.84232242768137e-05
"ID_A/InsDel_A_beta","ID_K/InsDel_K",6,148,16,6805,6975,0.0959511144308325,2.89334322552443,5.85328626231744e-06,4.16502435690522e-05
"ID_B/InsDel_B","ID_J/InsDel_J",3,1221,101,5650,6975,-0.0474279338501057,-1.83563140488406,6.05649867700905e-06,4.27429947615147e-05
"C_ID5/InsDel5a","C_ID5/InsDel5b",0,1173,63,5739,6975,-0.0429268038381946,-3.25680572424412,1.21987626896746e-05,8.53913388277224e-05
"C_ID1/InsDel1a","C_ID5/InsDel5a",708,3104,465,2698,6975,0.0515334556089003,0.279881353667363,1.62646978663385e-05,0.000112934716636431
"C_ID3/InsDel3b","ID_D/InsDel_D",4,783,167,6021,6975,-0.0448154815632519,-1.57758533958439,2.24121386058057e-05,0.00015437481071679
"ID_A/InsDel_A_alpha","ID_N/InsDel_N_beta",113,106,2527,4229,6975,0.0510372096743633,0.57851096262142,2.73676391259172e-05,0.000187012200693767
"C_ID19/InsDel19b","ID_N/InsDel_N_alpha",5,2206,55,4709,6975,-0.0467756977956809,-1.55346073296069,3.30476627853963e-05,0.000224047540615955
"C_ID1/InsDel1b","C_ID23/InsDel23",9,144,66,6756,6975,0.0698008345426066,1.89907062687034,3.39196247588474e-05,0.000228162475916935
"C_ID2/InsDel2a","C_ID19/InsDel19b",47,191,2164,4573,6975,-0.0482752292410237,-0.646068709365721,3.56912477692116e-05,0.00023821832813404
"C_ID9/InsDel9","ID_D/InsDel_D",10,1131,161,5673,6975,-0.0450459972059374,-1.12086786034178,3.82591772931103e-05,0.000253393474225907
"C_ID1/InsDel1b","C_ID1/InsDel1c",1,152,572,6250,6975,-0.0412386581166554,-2.23129548383708,4.07467253351713e-05,0.000267808629874676
"C_ID5/InsDel5a","ID_A/InsDel_A_alpha",16,1157,203,5599,6975,-0.0457848725977687,-0.935890822913756,4.54023867726868e-05,0.000296147386449116
"C_ID5/InsDel5c","ID_N/InsDel_N_alpha",8,149,52,6766,6975,0.0695954267528889,1.99169584658451,5.22235344498461e-05,0.000338078670385846
"C_ID19/InsDel19a","ID_N/InsDel_N_beta",11,60,2629,4275,6975,-0.0467444855335,-1.17418898910098,6.05570430059378e-05,0.00038910159722472
"C_ID1/InsDel1b","ID_F/InsDel_F",9,144,74,6748,6975,0.0648061732130327,1.78428870261783,7.64557685071002e-05,0.000487617901367506
"C_ID1/InsDel1c","C_ID5/InsDel5c",28,545,129,6273,6975,0.0531588675665903,0.928610092461641,8.38973740108682e-05,0.000531144404583511
"C_ID1/InsDel1b","ID_K/InsDel_K",5,148,17,6805,6975,0.0788561540844358,2.66744864083833,9.26457971141311e-05,0.00057802921242947
"C_ID10/InsDel10","C_ID19/InsDel19a",9,175,62,6729,6975,0.0635180500512179,1.76274232463199,9.24611733601497e-05,0.00057802921242947
"C_ID6/InsDel6","ID_A/InsDel_A_alpha",6,663,213,6093,6975,-0.0418916976125616,-1.27438560127579,9.94507630654746e-05,0.000616022352513479
"C_ID6/InsDel6","C_ID9/InsDel9",146,523,995,5311,6975,0.0481237949556367,0.400872834862348,0.00011380206091903,0.000699882674652036
"C_ID3/InsDel3b","C_ID5/InsDel5a",95,692,1078,5110,6975,-0.0452533447941111,-0.425455930634889,0.000116077099646297,0.000708811225499729
"C_ID5/InsDel5b","ID_D/InsDel_D",8,55,163,6749,6975,0.0632587586284403,1.84409385945546,0.000135948246889652,0.000824305919521061
"C_ID5/InsDel5b","ID_B/InsDel_B",1,62,1223,5689,6975,-0.0400601576000964,-2.19279468171985,0.000155638156967456,0.000937094077964892
"C_ID6/InsDel6","C_ID7/InsDel7",3,666,154,6152,6975,-0.0395793756682763,-1.56485748519598,0.000175763535012732,0.00105091946976362
"C_ID5/InsDel5b","ID_N/InsDel_N_beta",10,53,2630,4282,6975,-0.0432587113169015,-1.14094338771107,0.000202932973004226,0.00120500199832164
"C_ID2/InsDel2b","C_ID3/InsDel3b",1,93,786,6095,6975,-0.0377521790301,-2.08478297767961,0.000239117668037697,0.00141013912452368
"C_ID5/InsDel5c","C_ID19/InsDel19b",29,128,2182,4636,6975,-0.0431385877843472,-0.718049878462977,0.000242505613775721,0.00141396066054235
"C_ID2/InsDel2c","C_ID3/InsDel3b",1,95,786,6093,6975,-0.0382399831657993,-2.1062759536133,0.000243050148385909,0.00141396066054235
"C_ID18/InsDel18","ID_A/InsDel_A_alpha",10,73,209,6683,6975,0.0560588051140604,1.51676319299402,0.000248057418330376,0.00143340561867418
"C_ID17/InsDel17","ID_B/InsDel_B",0,46,1224,5705,6975,-0.0375891634256719,-2.99370146867074,0.000265192137580616,0.00152220286971273
"ID_A/InsDel_A_beta","ID_N/InsDel_N_beta",37,117,2603,4218,6975,-0.0428254252150603,-0.659474479605121,0.000281269872269498,0.0016037970862519
"ID_L/InsDel_L","ID_N/InsDel_N_beta",2,26,2638,4309,6975,-0.0401938742443834,-1.87024268687629,0.000324410490687765,0.00183761468738267
"C_ID4/InsDel4","C_ID19/InsDel19b",289,484,1922,4280,6975,0.0431557083964564,0.28548126848497,0.00036060317778598,0.00202927670636424
"C_ID2/InsDel2a","C_ID14/InsDel14",24,214,297,6440,6975,0.0491739698346762,0.905310610033068,0.000369970073073976,0.00206846904491359
"C_ID13/InsDel13","ID_D/InsDel_D",0,340,171,6464,6975,-0.0358868134948535,-2.8940646240609,0.000401030626435856,0.00222766044749208
"C_ID1/InsDel1a","ID_L/InsDel_L",6,3806,22,3141,6975,-0.0423689103764541,-1.43372287121205,0.0004376186150754,0.0024153181255123
"C_ID3/InsDel3b","ID_A/InsDel_A_beta",5,782,149,6039,6975,-0.03816626146465,-1.25896571696129,0.000442813319321723,0.00242842208876435
"C_ID5/InsDel5a","C_ID17/InsDel17",0,1173,46,5756,6975,-0.0366356396815212,-2.94226057833062,0.000454560580093659,0.00247706746494076
"C_ID3/InsDel3b","C_ID7/InsDel7",5,782,152,6036,6975,-0.0388422545407225,-1.27933077345091,0.000463699915123483,0.00251097878566867
"C_ID9/InsDel9","C_ID18/InsDel18",3,1138,80,5754,6975,-0.0378084752055573,-1.5152236650244,0.000486111470420264,0.00261588735019905
"ID_D/InsDel_D","ID_L/InsDel_L",5,166,23,6781,6975,0.0632442451245622,2.25470595707058,0.00051944659213029,0.00277791003617503
"C_ID3/InsDel3a","C_ID5/InsDel5a",2,67,1171,5735,6975,-0.0371975921017765,-1.70744691423086,0.000538560772672601,0.00286235077327845
"C_ID7/InsDel7","C_ID8/InsDel8",0,157,349,6469,6975,-0.0348263792823312,-2.83422209574349,0.000578379894238727,0.00305512324502788
"C_ID3/InsDel3b","ID_G/InsDel_G",14,773,34,6154,6975,0.0470524824960731,1.20720245592644,0.000588820815830035,0.00309130928310768
"ID_K/InsDel_K","ID_N/InsDel_N_beta",1,21,2639,4314,6975,-0.0386250827781464,-2.17119588934076,0.000596211027419762,0.0031111375430813
"ID_H/InsDel_H","ID_N/InsDel_N_beta",7,40,2633,4295,6975,-0.0389839622001077,-1.19714475041556,0.000763690836577954,0.0039610711463471
"ID_K/InsDel_K","ID_N/InsDel_N_alpha",3,19,57,6896,6975,0.0778211553447641,3.06933287063794,0.000829645053019711,0.00427739156077827
"C_ID19/InsDel19b","C_ID23/InsDel23",11,2200,64,4700,6975,-0.0381629799595341,-0.965333909665063,0.00104153775794292,0.00533788100945745
"C_ID6/InsDel6","C_ID23/InsDel23",0,669,75,6231,6975,-0.033958004535954,-2.78643864867972,0.00108126362776506,0.00550868629293324
"C_ID4/InsDel4","ID_F/InsDel_F",1,772,82,6120,6975,-0.0345308462955495,-1.9375661224888,0.00119352867658629,0.00604487170906348
"C_ID2/InsDel2b","C_ID5/InsDel5a",5,89,1168,5713,6975,-0.0359309654804934,-1.20237961243453,0.00124246236855741,0.00625590701361362
"C_ID5/InsDel5b","C_ID10/InsDel10",7,56,177,6735,6975,0.0504754400824281,1.61683909861302,0.00125998185972266,0.0063072347745419
"C_ID2/InsDel2b","C_ID6/InsDel6",1,93,668,6213,6975,-0.0338467919681696,-1.90305310148243,0.00127527864314574,0.00634690700432649
"C_ID3/InsDel3b","C_ID10/InsDel10",8,779,176,6012,6975,-0.0360820120459789,-0.990311486960895,0.001296134039741,0.00639564668451281
"C_ID2/InsDel2c","C_ID6/InsDel6",1,95,668,6211,6975,-0.0342988525885543,-1.92453984426679,0.00129992818790911,0.00639564668451281
"C_ID6/InsDel6","ID_D/InsDel_D",5,664,166,6140,6975,-0.0358945048571635,-1.18662064428493,0.00136753496090221,0.00669004318941366
"C_ID6/InsDel6","C_ID10/InsDel10",6,663,178,6128,6975,-0.0353863826671294,-1.08960997730914,0.00138168415383078,0.00672107376524464
