"sig1","sig2","n11","n10","n01","n00","n","phi","log_OR","p_value","p_adj"
"C_ID1/InsDel1a","C_ID1/InsDel1c",0,3812,573,2590,6975,-0.328432651226782,-7.43133935179019,5.06032284721557e-211,4.35693797145261e-208
"C_ID7/InsDel7","ID_J/InsDel_J",71,86,33,6785,6975,0.547566850073634,5.12055085845253,8.23196245719412e-99,3.54385983782207e-96
"C_ID14/InsDel14","ID_N/InsDel_N_beta",288,33,2352,4302,6975,0.234896440098885,2.75686730374329,7.31422214203982e-88,2.09918175476543e-85
"C_ID5/InsDel5a","C_ID9/InsDel9",7,1166,1134,4668,6975,-0.191593311966941,-3.63221427521514,1.31992429627742e-87,2.84113704773714e-85
"C_ID5/InsDel5a","ID_B/InsDel_B",23,1150,1201,4601,6975,-0.184255853371334,-2.54813992722292,2.13897413859775e-74,3.68331346666533e-72
"C_ID2/InsDel2b","C_ID7/InsDel7",51,43,106,6775,6975,0.409773923537476,4.32174432818834,7.08049831435833e-62,1.01605150811042e-59
"C_ID7/InsDel7","ID_D/InsDel_D",59,98,112,6706,6975,0.344698042493343,3.58379902707121,2.51817376805485e-57,3.09735373470747e-55
"C_ID1/InsDel1c","C_ID19/InsDel19b",34,539,2177,4225,6975,-0.165660005822284,-2.086723293403,4.71918677648925e-55,5.07902476819656e-53
"C_ID1/InsDel1a","C_ID1/InsDel1b",2,3810,151,3012,6975,-0.160473338866396,-4.33928500838253,6.82387492639035e-50,6.5281736795801e-48
"C_ID5/InsDel5a","ID_N/InsDel_N_beta",237,936,2403,3399,6975,-0.163578427294666,-1.02527954477695,1.86835299475162e-45,1.60865192848114e-43
"C_ID2/InsDel2c","C_ID7/InsDel7",42,54,115,6764,6975,0.33050464573893,3.82147647234274,2.1328031667762e-45,1.66940320599482e-43
"C_ID19/InsDel19a","ID_D/InsDel_D",37,34,134,6770,6975,0.325655786953808,4.00214762832004,4.61877492245049e-42,3.31397100685823e-40
"C_ID1/InsDel1a","C_ID19/InsDel19b",1457,2355,754,2409,6975,0.153887612063176,0.681088877957035,2.79006403766009e-38,1.84788087417333e-36
"C_ID1/InsDel1a","ID_N/InsDel_N_beta",1188,2624,1452,1711,6975,-0.151306551326305,-0.628114424647932,1.52617191963467e-36,9.38595730575321e-35
"C_ID1/InsDel1a","C_ID2/InsDel2a",38,3774,200,2963,6975,-0.146058408672112,-1.89205292680467,4.12807260137046e-36,2.36951367318664e-34
"C_ID6/InsDel6","C_ID8/InsDel8",113,556,236,6070,6975,0.177592653746319,1.6553837112579,2.2958185486264e-34,1.23543735647958e-32
"C_ID7/InsDel7","ID_N/InsDel_N_beta",0,157,2640,4178,6975,-0.118421004403218,-5.29358860153113,1.47376183629125e-33,7.46417024145157e-32
"ID_D/InsDel_D","ID_J/InsDel_J",35,136,69,6735,6975,0.248231206846727,3.22702865442423,1.6975145789624e-31,8.11977806937017e-30
"C_ID2/InsDel2c","ID_J/InsDel_J",28,68,76,6803,6975,0.269766490664596,3.61097206580485,8.80103293375986e-30,3.98825755577223e-28
"C_ID1/InsDel1a","C_ID7/InsDel7",19,3793,138,3025,6975,-0.129701004011747,-2.18666856877345,2.11821185144094e-29,9.11890202045325e-28
