"signature","major_cancer_type","n_msi","n_mss","msi_pos","msi_neg","mss_pos","mss_neg","msi_pos_rate","mss_pos_rate","odds_ratio","p_value","p_adj"
"C_ID7/InsDel7","Other",3,350,3,0,3,347,1,0.00857142857142857,Inf,2.75141918201408e-06,5.47387605684907e-05
"ID_J/InsDel_J","Other",3,350,3,0,3,347,1,0.00857142857142857,Inf,2.75141918201408e-06,5.47387605684907e-05
"ID_D/InsDel_D","Prostate",19,682,8,11,33,649,0.421052631578947,0.0483870967741935,14.1553363597977,3.22436200923968e-06,6.09404419746299e-05
"ID_J/InsDel_J","Breast",6,947,3,3,5,942,0.5,0.00527983104540655,174.162501247182,7.69666857317177e-06,0.000134844389574431
"C_ID7/InsDel7","Bladder",3,195,3,0,2,193,1,0.0102564102564103,Inf,7.84808616570764e-06,0.000134844389574431
"C_ID14/InsDel14","Colon",24,628,0,24,244,384,0,0.388535031847134,0,1.35878317570491e-05,0.000217456634182098
"ID_N/InsDel_N_beta","Uterus",16,106,0,16,58,48,0,0.547169811320755,0,1.38067704242602e-05,0.000217456634182098
"ID_D/InsDel_D","Uterus",16,106,8,8,6,100,0.5,0.0566037735849057,15.9103640032758,2.70777109251067e-05,0.000400524222795761
"C_ID2/InsDel2c","Stomach",6,113,4,2,2,111,0.666666666666667,0.0176991150442478,90.9691583593205,2.7549285165846e-05,0.000400524222795761
"C_ID2/InsDel2a","Prostate",19,682,5,14,11,671,0.263157894736842,0.0161290322580645,21.4249809796131,3.03061335172325e-05,0.000424285869241255
"C_ID2/InsDel2a","CNS",5,367,3,2,4,363,0.6,0.0108991825613079,121.363765116439,4.04579978807606e-05,0.000546182971390269
"ID_J/InsDel_J","Lung",2,574,2,0,3,571,1,0.00522648083623693,Inf,6.03864734299518e-05,0.000787106446776613
"C_ID7/InsDel7","Skin",2,430,2,0,2,428,1,0.00465116279069767,Inf,6.44496004124776e-05,0.000812064965197218
"C_ID7/InsDel7","Kidney",2,304,2,0,2,302,1,0.00657894736842105,Inf,0.000128576020572163,0.00156779792826702
"ID_J/InsDel_J","CNS",5,367,3,2,7,360,0.6,0.0190735694822888,71.9356090750346,0.000137012334070582,0.00161845819620876
"ID_D/InsDel_D","Lung",2,574,2,0,6,568,1,0.0104529616724739,Inf,0.000169082125603865,0.00193675889328064
"ID_D/InsDel_D","CNS",5,367,4,1,27,340,0.8,0.0735694822888283,48.9197750279149,0.000188622765104888,0.00209704132969552
"C_ID7/InsDel7","Lung",2,574,2,0,7,567,1,0.0121951219512195,Inf,0.000217391304347826,0.00234782608695652
"ID_N/InsDel_N_beta","Stomach",6,113,0,6,85,28,0,0.752212389380531,0,0.000387568319926851,0.00406946735923193
"C_ID19/InsDel19b","Uterus",16,106,0,16,44,62,0,0.415094339622642,0,0.000522452993909483,0.00533749274858877
"C_ID5/InsDel5a","Prostate",19,682,0,19,225,457,0,0.329912023460411,0,0.0007684173963115,0.0076437309422565
"ID_D/InsDel_D","Bladder",3,195,2,1,3,192,0.666666666666667,0.0153846153846154,106.736490988742,0.00152252871614728,0.0147568167872736
"C_ID19/InsDel19b","Colon",24,628,0,24,154,474,0,0.245222929936306,0,0.00231546253966968,0.0218811209998785
"ID_J/InsDel_J","Uterus",16,106,4,12,2,104,0.25,0.0188679245283019,16.5476935146943,0.00262221959871188,0.024175585568612
"ID_J/InsDel_J","Skin",2,430,1,1,0,430,0.5,0,Inf,0.00462962962962963,0.0416666666666666
"C_ID2/InsDel2a","Bladder",3,195,2,1,7,188,0.666666666666667,0.0358974358974359,49.4171839344216,0.00540576175093942,0.0475204172524442
"ID_N/InsDel_N_beta","Prostate",19,682,0,19,183,499,0,0.268328445747801,0,0.00584278918697247,0.0501948707426271
"C_ID2/InsDel2c","Lung",2,574,1,1,1,573,0.5,0.00174216027874564,403.037024290695,0.00693840579710144,0.0582826086956521
"C_ID2/InsDel2b","Other",3,350,1,2,0,350,0.333333333333333,0,Inf,0.0084985835694051,0.0683503104092581
"C_ID13/InsDel13","Other",3,350,1,2,0,350,0.333333333333333,0,Inf,0.0084985835694051,0.0683503104092581
"C_ID1/InsDel1a","Prostate",19,682,9,10,516,166,0.473684210526316,0.756598240469208,0.290167299212625,0.0121221261668101,0.0954617435636297
"ID_D/InsDel_D","Skin",2,430,1,1,2,428,0.5,0.00465116279069767,174.541359148391,0.0138566640886826,0.10689426582698
"C_ID5/InsDel5a","Kidney",2,304,0,2,267,37,0,0.878289473684211,0,0.0158791385406622,0.120046287367406
"C_ID9/InsDel9","Uterus",16,106,0,16,28,78,0,0.264150943396226,0,0.0215562416335709,0.159769790931172
"C_ID2/InsDel2c","Breast",6,947,1,5,3,944,0.166666666666667,0.00316789862724393,60.25760728349,0.024985786077346,0.181627444946862
"C_ID1/InsDel1a","Breast",6,947,1,5,607,340,0.166666666666667,0.640971488912355,0.112243657571955,0.025674309447184,0.183111112661048
"ID_N/InsDel_N_beta","Bladder",3,195,0,3,136,59,0,0.697435897435897,0,0.0296814618787063,0.207207282795654
"C_ID2/InsDel2c","Bladder",3,195,1,2,1,194,0.333333333333333,0.00512820512820513,79.359133279702,0.0301492078141824,0.207207282795654
"C_ID19/InsDel19b","Breast",6,947,0,6,467,480,0,0.493136219640971,0,0.0309445832342149,0.20887593683095
"ID_B/InsDel_B","Prostate",19,682,0,19,124,558,0,0.181818181818182,0,0.0337612378440817,0.22389031412391
"C_ID4/InsDel4","Uterus",16,106,0,16,23,83,0,0.216981132075472,0,0.0401313483550894,0.259253490078678
"ID_B/InsDel_B","Uterus",16,106,0,16,25,81,0,0.235849056603774,0,0.0404654918376772,0.259253490078678
"C_ID1/InsDel1c","Other",3,350,1,2,4,346,0.333333333333333,0.0114285714285714,40.308152918295,0.0420114194901731,0.26467194278809
"ID_N/InsDel_N_alpha","Uterus",16,106,2,14,1,105,0.125,0.00943396226415094,14.3840844432927,0.0449803549654518,0.27431742156648
"ID_J/InsDel_J","Bladder",3,195,1,2,2,193,0.333333333333333,0.0102564102564103,42.6102524172629,0.0449938627966184,0.27431742156648
"C_ID1/InsDel1c","Uterus",16,106,3,13,4,102,0.1875,0.0377358490566038,5.74580741942759,0.0471486635947157,0.282891981568294
"C_ID2/InsDel2a","Other",3,350,1,2,5,345,0.333333333333333,0.0142857142857143,32.5663452058258,0.0502699417359474,0.29690684337794
"C_ID9/InsDel9","Prostate",19,682,0,19,109,573,0,0.159824046920821,0,0.056717488201833,0.328859814018392
"C_ID19/InsDel19b","Prostate",19,682,1,18,179,503,0.0526315789473684,0.262463343108504,0.156357825457892,0.0574199675270209,0.328859814018392
"ID_D/InsDel_D","Breast",6,947,1,5,9,938,0.166666666666667,0.00950369588173178,20.5059150559316,0.0614876710520992,0.346900591905873
"C_ID19/InsDel19b","Other",3,350,0,3,212,138,0,0.605714285714286,0,0.062912575306343,0.349719903908789
"C_ID1/InsDel1a","Bladder",3,195,0,3,106,89,0,0.543589743589744,0,0.0985562660689565,0.539916935856023
"C_ID3/InsDel3b","Colon",24,628,1,23,2,626,0.0416666666666667,0.00318471337579618,13.4347019858748,0.106571963559891,0.571166564605022
"C_ID3/InsDel3b","Lung",2,574,0,2,387,187,0,0.674216027874564,0,0.107282608695652,0.571166564605022
"C_ID1/InsDel1c","Kidney",2,304,1,1,17,287,0.5,0.0559210526315789,16.434985337157,0.114368370298939,0.600433944069431
"ID_K/InsDel_K","Uterus",16,106,1,15,0,106,0.0625,0,Inf,0.131147540983606,0.679092746463058
"C_ID1/InsDel1c","Colon",24,628,1,23,3,625,0.0416666666666667,0.00477707006369427,8.97372927131781,0.139610904814996,0.703638960267579
