"signature","group","OR","p","FDR"
"InsDel_N_beta","Kidney",0.0470278272531476,7.75276624098729e-50,3.25616182121466e-48
"InsDel1a","Liver",2.19208202301718,3.06554131968909e-12,2.3604668161606e-11
"InsDel1b","Liver",1.08073446271398,0.721196879648,0.826249037376204
"InsDel1c","Liver",3.3510254948737,1.91307860922176e-16,1.88051556906479e-15
"InsDel2a","Liver",0,1.77639016754328e-06,8.63886586742099e-06
"InsDel2b","Liver",0.184042697719755,0.0637231461527188,0.125812365481009
"InsDel2c","Liver",0,0.0104225166027955,0.0273591060823381
"InsDel3a","Liver",1.78997312808247,0.192404957285543,0.30758162721772
"InsDel3b","Liver",12.7206089041274,1.6924923167644e-105,1.11704492906451e-103
"InsDel4","Liver",0.0192392906144117,2.05662163981839e-19,2.31746145755146e-18
"InsDel5a","Liver",4.01544620061063,3.19929460029005e-33,8.21152280741114e-32
"InsDel5b","Liver",8.98593160399686,6.81136049422307e-12,5.15876811201813e-11
"InsDel5c","Liver",0.451770874575851,0.149220490828805,0.253455392510691
"InsDel6","Liver",0.400141282070415,0.000100715295664179,0.000408161987691674
"InsDel7","Liver",0,0.000249436809943884,0.000960331718283954
"InsDel8","Liver",2.31651898609387,1.53375338954206e-05,7.08594065968432e-05
"InsDel9","Liver",0.303466857378347,4.27798519654257e-10,2.78370304338404e-09
"InsDel10","Liver",0.184902394910642,0.00447958038513286,0.0133520395995573
"InsDel11","Liver",0,0.169986637393558,0.285577550821177
"InsDel12","Liver",0,0.00995881909512408,0.0264423817353294
"InsDel13","Liver",0,5.08256938014683e-09,3.01044494054851e-08
"InsDel14","Liver",0,5.29658795220528e-09,3.09749827078334e-08
"InsDel17","Liver",0,0.113637187845966,0.202193659519627
"InsDel18","Liver",0.206268433189511,0.090239676952875,0.166762923008913
"InsDel19a","Liver",0,0.0349544823256443,0.0744357247482374
"InsDel19b","Liver",0.157582744284025,1.62416311932749e-32,3.94928084804896e-31
"InsDel23","Liver",2.38338029229403,0.0206405087861095,0.0499262568543592
"InsDel_A_alpha","Liver",0.0774661896607168,0.000104415927000486,0.00041947963716717
"InsDel_A_beta","Liver",0.217409904926904,0.0122854572070091,0.0318869732002147
"InsDel_B","Liver",3.91356381230953,1.74572092942195e-32,4.0326153469647e-31
"InsDel_C","Liver",0,0.112131852068092,0.200794246726583
"InsDel_D","Liver",0.0959373729862366,0.00109886399901939,0.00377126378264965
"InsDel_E","Liver",0.201409797074736,0.0909932874046897,0.166821026908598
"InsDel_F","Liver",0.208785555059597,0.0901852833378455,0.166762923008913
"InsDel_G","Liver",0.646342872378228,0.768831608286625,0.864234070628761
"InsDel_H","Liver",0.370734177214433,0.518756912543507,0.668170883919287
"InsDel_I","Liver",0,0.621772181042996,0.756577683896748
"InsDel_J","Liver",0,0.00283991001021093,0.00886201167632883
"InsDel_K","Liver",0,0.633417633021539,0.756577683896748
"InsDel_L","Liver",0,0.407258174630355,0.542228463052519
"InsDel_M","Liver",0,0.629310057134368,0.756577683896748
"InsDel_N_alpha","Liver",0.285041046128375,0.260409495629278,0.390316942906815
"InsDel_N_beta","Liver",0.0368836467689678,2.76504105269681e-65,1.41938774038436e-63
"InsDel1a","Lung",1.37971762036245,0.00127050438545082,0.00428447464290715
"InsDel1b","Lung",0.0912803636569383,0.000721782985353243,0.00258043029785989
"InsDel1c","Lung",0.798815137367666,0.290381815721256,0.41278891957914
"InsDel2a","Lung",0.479846540335969,0.03414473537725,0.0733714778804164
"InsDel2b","Lung",0,0.00271299915397245,0.00858496992558407
"InsDel2c","Lung",0.146215221904535,0.0208919305755125,0.050010735367289
"InsDel3a","Lung",0.796186153718408,0.817522775255997,0.900973903426887
"InsDel3b","Lung",16.416770075238,2.75336674024728e-149,2.54411086798848e-147
"InsDel4","Lung",0.565564727760521,0.00136662374963564,0.00454230339806954
"InsDel5a","Lung",0.739973450266469,0.0323439122723054,0.0701544012666905
"InsDel5b","Lung",0.704459477761342,0.798075501907151,0.884198757508642
"InsDel5c","Lung",0.56504561822843,0.191950883949154,0.30758162721772
"InsDel6","Lung",0.794177918895714,0.217773584148085,0.341055579242086
"InsDel7","Lung",0.271435676836489,0.0133609066061493,0.0342929936224499
"InsDel8","Lung",0.582083636533348,0.0459545463352876,0.0952458995306366
"InsDel9","Lung",1.21075185640757,0.131053630537129,0.224247323363532
"InsDel10","Lung",0.307889275395591,0.00987737015826053,0.0263777168388229
"InsDel11","Lung",0.357705572266491,0.519354649818714,0.668170883919287
"InsDel12","Lung",0,0.00273712449234742,0.00860239126166331
"InsDel13","Lung",0,1.13890295545538e-10,7.62569804957082e-10
"InsDel14","Lung",0.160124962930434,1.67315591107114e-06,8.22338330760496e-06
"InsDel17","Lung",0,0.0775253594776126,0.147909984033662
"InsDel18","Lung",0,0.0062944868291106,0.0181753307190569
"InsDel19a","Lung",1.23420532882873,0.635890352478402,0.756577683896748
"InsDel19b","Lung",1.12687876521128,0.253569546589898,0.38663079381034
"InsDel23","Lung",0,0.00924669632097659,0.025580680840067
"InsDel_A_alpha","Lung",0.326650934773198,0.00753673532905052,0.0211028589213415
"InsDel_A_beta","Lung",0.269664495288005,0.0135398838464098,0.034370474379348
"InsDel_B","Lung",1.22376012246586,0.0974559511761811,0.177963041278244
"InsDel_C","Lung",0,0.0743263363625984,0.143676851044019
"InsDel_D","Lung",0.32236981669244,0.0134748216936795,0.034370474379348
"InsDel_E","Lung",1.46257002198713,0.274894659923295,0.398123300578566
"InsDel_F","Lung",0,0.00620036254292524,0.0180161477662356
"InsDel_G","Lung",3.1694226972849,0.00292518090741458,0.00894989125314924
"InsDel_H","Lung",0,0.0733272789779461,0.142341188604248
"InsDel_I","Lung",0,0.63137664698533,0.756577683896748
"InsDel_J","Lung",0.124082457060045,0.0067223431654164,0.0191711268050764
"InsDel_K","Lung",0.652133816053346,1,1
"InsDel_L","Lung",0.494192242134939,0.719438656551446,0.826249037376204
"InsDel_M","Lung",0.683292200192766,1,1
"InsDel_N_alpha","Lung",0.233805666736254,0.187366498525721,0.301742894524431
"InsDel_N_beta","Lung",0.678504094294769,0.000207591582509171,0.000805943790917957
"InsDel1a","Ovary",0.858180181003535,0.229786280126836,0.358652910197966
"InsDel1b","Ovary",0.500000679244764,0.287993179131516,0.411031046028256
"InsDel1c","Ovary",0.710510972546522,0.210008526194829,0.331139723897648
"InsDel2a","Ovary",0.420003327367641,0.0847655104808932,0.157909942911987
"InsDel2b","Ovary",0,0.0515611173873303,0.105403700145781
"InsDel2c","Ovary",0.261355146492761,0.273742961679905,0.397702038667031
"InsDel3a","Ovary",0.339139188625811,0.370835539919053,0.50838581436974
"InsDel3b","Ovary",0.0279913771554179,3.57548589196835e-13,3.05902681868404e-12
"InsDel4","Ovary",1.1121741354959,0.554242355774439,0.701534159911756
"InsDel5a","Ovary",0.511393156338971,0.000959748500212048,0.00335911975074217
"InsDel5b","Ovary",0.404462929254939,0.73415409596982,0.829221120742147
"InsDel5c","Ovary",0.493356926057208,0.288255538773063,0.411031046028256
"InsDel6","Ovary",11.7534994013341,2.68614377916987e-68,1.5512480324706e-66
"InsDel7","Ovary",0,0.00463503341299615,0.013726829723104
"InsDel8","Ovary",3.57467508720098,6.51426038108396e-10,4.01278439474772e-09
"InsDel9","Ovary",3.66384686331866,8.15034545398991e-21,1.07584559992667e-19
"InsDel10","Ovary",0,0.00132972826258365,0.00445169896604092
"InsDel11","Ovary",0,0.405742028884896,0.541771148395439
"InsDel12","Ovary",0,0.0520552981796502,0.105945144312768
"InsDel13","Ovary",0.0713661478850126,5.16467597471689e-05,0.00021691639093811
"InsDel14","Ovary",0,3.00444015912586e-06,1.44588682657932e-05
"InsDel17","Ovary",0,0.264541591557914,0.39172504903768
"InsDel18","Ovary",0,0.077796809783939,0.147909984033662
"InsDel19a","Ovary",0,0.118810602974794,0.207133956884357
"InsDel19b","Ovary",1.70004696123325,3.74966793795609e-05,0.000160402461790344
"InsDel23","Ovary",0,0.118810602974794,0.207133956884357
"InsDel_A_alpha","Ovary",1.36372735611581,0.282698095676068,0.405967859572384
"InsDel_A_beta","Ovary",0.157951601048528,0.0320383119761941,0.0698193402500079
"InsDel_B","Ovary",0.838837881400728,0.362679527162838,0.501670483680332
"InsDel_C","Ovary",0,0.263099172578982,0.390841857657522
"InsDel_D","Ovary",0,0.0020444971927762,0.00660529862281541
"InsDel_E","Ovary",0.599848044906584,0.773386111109364,0.86514378530878
"InsDel_F","Ovary",0.622073698418735,0.771470795599418,0.865095892152745
"InsDel_G","Ovary",0.948582319563273,1,1
"InsDel_H","Ovary",1.11486397616754,0.701599050938136,0.814418998827685
"InsDel_I","Ovary",0,1,1
"InsDel_J","Ovary",0,0.022743544294661,0.0520475386108218
"InsDel_K","Ovary",0,1,1
"InsDel_L","Ovary",0,0.628037619521562,0.756577683896748
"InsDel_M","Ovary",0,1,1
"InsDel_N_alpha","Ovary",1.77874198214726,0.295348404955966,0.41728123269008
"InsDel_N_beta","Ovary",0.475870444523947,1.69600959979769e-07,9.00639580582222e-07
"InsDel1a","Prostate",2.95588729535696,7.83051189603265e-34,2.26106030997943e-32
"InsDel1b","Prostate",1.10764491019008,0.676484011917843,0.789231347237483
"InsDel1c","Prostate",1.48365570157852,0.00368337649326181,0.0110501294797854
"InsDel2a","Prostate",0.318567403950228,0.00030124263119648,0.00115019913729565
"InsDel2b","Prostate",0.529814946050652,0.213665240222507,0.335759663206796
"InsDel2c","Prostate",0.851555729319393,0.861306327575234,0.938498875801316
"InsDel3a","Prostate",0.391796246817448,0.114136800010777,0.202193659519627
"InsDel3b","Prostate",0.128490732259795,1.3556087825007e-22,2.0202943790817e-21
"InsDel4","Prostate",0.221585937488276,3.15931036782076e-16,2.97877834680243e-15
"InsDel5a","Prostate",2.94233664691859,1.68025487908664e-30,3.69656073399061e-29
"InsDel5b","Prostate",1.78964729538111,0.126598125902516,0.217428751550046
"InsDel5c","Prostate",0.938587177648094,1,1
"InsDel6","Prostate",0.988813992072051,1,1
"InsDel7","Prostate",0.0593379517091549,3.38516445363034e-06,1.61231544080126e-05
"InsDel8","Prostate",0.326586975366746,1.35816840599467e-05,6.33811922797511e-05
"InsDel9","Prostate",0.979995915115851,0.911814389264803,0.988869126385772
"InsDel10","Prostate",0.535366320205361,0.0561583461595659,0.112316692319132
"InsDel11","Prostate",0,0.0294817712418,0.06485989673196
"InsDel12","Prostate",12.2241431736988,6.49155280753377e-29,1.19963895883224e-27
"InsDel13","Prostate",0.080528602729916,1.53146373700636e-11,1.12307340713799e-10
"InsDel14","Prostate",0.189050696750245,2.49609418370961e-08,1.40633599130956e-07
"InsDel17","Prostate",0.598223105630583,0.626945358675025,0.756577683896748
"InsDel18","Prostate",0.470910112300646,0.187446343568207,0.301742894524431
"InsDel19a","Prostate",2.39189314111765,0.00483247089753121,0.0142203920678944
"InsDel19b","Prostate",0.776897151062362,0.00575846772593671,0.0168380511986251
"InsDel23","Prostate",1.4615052810275,0.239074897025926,0.370646316865698
"InsDel_A_alpha","Prostate",0.128768873865661,9.46061520645094e-07,4.69978948965627e-06
"InsDel_A_beta","Prostate",0.179728696937463,0.000177433956618332,0.000700636649210848
"InsDel_B","Prostate",1.09768227631605,0.389280133453675,0.527411793711431
"InsDel_C","Prostate",0.852465987859501,1,1
"InsDel_D","Prostate",1.73532434848899,0.0132147984027904,0.0341074685032913
"InsDel_E","Prostate",0.838305772923893,0.853063641975534,0.931714899746328
"InsDel_F","Prostate",1.15411656277919,0.705438459796221,0.816823479764045
"InsDel_G","Prostate",0,0.0089687121220947,0.0249611144602877
"InsDel_H","Prostate",0.20307583024301,0.0841994649651662,0.157490497222295
"InsDel_I","Prostate",0,0.249134696599163,0.382392790128948
"InsDel_J","Prostate",0.618215539217537,0.260639820592044,0.390316942906815
"InsDel_K","Prostate",1.44196422494883,0.473310063746651,0.617709744211731
"InsDel_L","Prostate",0.330060637448225,0.357566237391131,0.49757711347802
"InsDel_M","Prostate",0.456368498050804,0.716227686000193,0.825180027262068
"InsDel_N_alpha","Prostate",1.02886840549922,0.829037686958586,0.907619458234282
"InsDel_N_beta","Prostate",0.575850155566076,6.02276062723935e-10,3.79991657408585e-09
"InsDel1a","Skin",0.665909944979104,6.77175109704039e-05,0.000279334732752916
"InsDel1b","Skin",0.747216079219985,0.604198441244615,0.756577683896748
"InsDel1c","Skin",0.923577748306527,0.782440248242006,0.873157958183108
"InsDel2a","Skin",0.393467585453723,0.0176974012639863,0.0432603142008553
"InsDel2b","Skin",0.167032174968795,0.0446347499299695,0.0933088437450041
"InsDel2c","Skin",0.852453436243823,1,1
"InsDel3a","Skin",0,0.0229820300359473,0.0520475386108218
"InsDel3b","Skin",0.0346518538944201,5.0965096642909e-20,6.19628280237473e-19
"InsDel4","Skin",0.500242964511299,0.000326074434053856,0.00123480646338427
"InsDel5a","Skin",0.264543814985853,7.42468783517525e-13,5.91414789629476e-12
"InsDel5b","Skin",0.25041362057413,0.182734096819001,0.299372882022619
"InsDel5c","Skin",0.304498419566096,0.0253774037582249,0.0566394228806759
"InsDel6","Skin",0.152401943620227,2.68359380378561e-11,1.87851566264993e-10
"InsDel7","Skin",0.0983915084906808,0.00102735096176123,0.00356869281453902
"InsDel8","Skin",2.6338090081894,8.73532759009494e-08,4.80443017455222e-07
"InsDel9","Skin",0.501572477003697,1.94887682953928e-05,8.84721115160176e-05
"InsDel10","Skin",0.704388019671079,0.431125253523129,0.565851895249107
"InsDel11","Skin",0,0.173833219138747,0.28993121748051
"InsDel12","Skin",0,0.0068242171846183,0.0193422597502678
"InsDel13","Skin",550.251102517973,0,0
"InsDel14","Skin",0.0877027021820414,2.44366207573782e-07,1.25441319887875e-06
"InsDel17","Skin",0.316148963219642,0.368382604757076,0.50652608154098
"InsDel18","Skin",0,0.00945580428309759,0.0256975386987711
"InsDel19a","Skin",0,0.0229820300359473,0.0520475386108218
"InsDel19b","Skin",3.06619518557482,1.15393228068627e-27,1.90398826313234e-26
"InsDel23","Skin",0.650434795993588,0.627020768575501,0.756577683896748
"InsDel_A_alpha","Skin",0.437337582493452,0.0409531287070825,0.0860015702848733
"InsDel_A_beta","Skin",0.833020200651187,0.735888873385888,0.829221120742147
"InsDel_B","Skin",1.07847998897893,0.549197935709067,0.697058918399969
"InsDel_C","Skin",0.329422285601402,0.366368603234186,0.505260581176698
"InsDel_D","Skin",0.175562180648714,0.00206016876444372,0.00660970811925694
"InsDel_E","Skin",2.84878480407797,0.00168029102116716,0.00546686233647342
"InsDel_F","Skin",1.45197591122747,0.346089278722273,0.485997710546171
"InsDel_G","Skin",0.287188800626364,0.259077229598676,0.390316942906815
"InsDel_H","Skin",15.4074282028039,2.51544294295281e-16,2.42111383259208e-15
"InsDel_I","Skin",2.99282406235364,0.0987672999746312,0.178943108189332
"InsDel_J","Skin",0.137303121161788,0.0147346915761346,0.0367969054495901
"InsDel_K","Skin",0,0.397379430588468,0.536810809742317
"InsDel_L","Skin",2.45805286235875,0.09848721525513,0.178943108189332
"InsDel_M","Skin",0,0.638052379581337,0.756577683896748
"InsDel_N_alpha","Skin",0.806506037474152,1,1
"InsDel_N_beta","Skin",0.438439404348037,7.19584182333549e-13,5.83241916207192e-12
"InsDel1a","MSI-H",0.199543924284123,7.16175114705778e-12,5.3366597257108e-11
"InsDel1b","MSI-H",0,0.271327150278802,0.397372544687669
"InsDel1c","MSI-H",1.5288384044862,0.18053587585557,0.296824109057913
"InsDel2a","MSI-H",7.29081934545695,1.48818985778966e-09,9.04662781972138e-09
"InsDel2b","MSI-H",58.4485321895936,1.246900333456e-38,4.43129195428209e-37
"InsDel2c","MSI-H",37.7292673976532,3.98383846602291e-28,6.81679026408365e-27
"InsDel3a","MSI-H",5.57558940810258,0.00301736568901419,0.00911126110016048
"InsDel3b","MSI-H",1.76436464493684,0.0459736701197662,0.0952458995306366
"InsDel4","MSI-H",1.17002495197117,0.618665077456599,0.756577683896748
"InsDel5a","MSI-H",0,9.74013789523728e-08,5.29405142070544e-07
"InsDel5b","MSI-H",1.20296129894224,0.570150872159074,0.719698641905717
