"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel_N_alpha","Prostate",0.95858554118086,1,6,1
"InsDel_N_beta","Prostate",0.548877898401913,5.64541322371604e-12,183,4.2718552437105e-11
"InsDel1a","Skin",0.616447158949882,1.51348310392799e-06,188,7.39142911220644e-06
"InsDel1b","Skin",0.711694585138434,0.499078166342154,7,0.637121063415516
"InsDel1c","Skin",0.940170301929706,0.787683989732925,34,0.875321341213228
"InsDel2a","Skin",0.573702506152064,0.104959082968652,9,0.205994461901092
"InsDel2b","Skin",0.322613637750445,0.128698290280838,2,0.235014269208487
"InsDel2c","Skin",0.812131004050469,0.833139735520353,5,0.906525100825255
"InsDel3a","Skin",0,0.0142593484223508,0,0.0369686810949835
"InsDel3b","Skin",0.0497130830678505,8.72998993285384e-20,3,1.11108962781776e-18
"InsDel4","Skin",0.536396621822953,0.000781441238330161,29,0.00278140101778532
"InsDel5a","Skin",0.251399443642323,4.05070615072943e-14,22,3.69847083327469e-13
"InsDel5b","Skin",0.238675193478491,0.185566774908844,1,0.315404167090899
"InsDel5c","Skin",0.49240767454492,0.131082852741775,5,0.237305164446316
"InsDel6","Skin",0.145119694518245,5.695806991614e-12,7,4.2718552437105e-11
"InsDel7","Skin",0.385203073815464,0.0639908665818609,4,0.136427228245592
"InsDel8","Skin",2.77548823752083,8.37259903321467e-09,51,4.95280506190163e-08
"InsDel9","Skin",0.490021183483167,8.23403955866594e-06,39,3.67903895174436e-05
"InsDel10","Skin",0.670817362842758,0.354360612321815,8,0.516775892969313
"InsDel11","Skin",0.377239322813973,0.515832492589107,1,0.656514081477045
"InsDel12","Skin",0,0.00426363886253386,0,0.0130710096515637
"InsDel13","Skin",1023.20311926985,0,324,0
"InsDel14","Skin",0.0835713731782622,6.9505175645248e-08,2,3.94488834743299e-07
"InsDel17","Skin",0.301331006318238,0.373083760203187,1,0.529050990575744
"InsDel18","Skin",0,0.010014018039124,0,0.0272351323652302
"InsDel19a","Skin",0.200117165681138,0.089971561365187,1,0.180535504253113
"InsDel19b","Skin",2.83900275556589,3.64046925031449e-25,241,5.46070387547173e-24
"InsDel23","Skin",0.619806028166945,0.629279033219649,3,0.75090039997693
"InsDel_A_alpha","Skin",0.416582747178179,0.0314163256521263,6,0.075399181565103
"InsDel_A_beta","Skin",1.00995201570794,0.869212902850891,10,0.936075433839421
"InsDel_B","Skin",1.05172341431144,0.695536851907161,79,0.802542521431339
"InsDel_C","Skin",0.31398251433926,0.368210065375939,1,0.527809650026943
"InsDel_D","Skin",0.253008932875236,0.00683408319503538,3,0.0194887089427111
"InsDel_E","Skin",2.71151743610869,0.00250618161730338,13,0.00848867967151147
"InsDel_F","Skin",1.60536399001596,0.247255162046217,8,0.404074583888759
"InsDel_G","Skin",0.273727545628879,0.260749411799541,1,0.418486937398355
"InsDel_H","Skin",18.9557067659979,1.44967475366284e-19,26,1.73960970439541e-18
"InsDel_I","Skin",2.8520293866868,0.109460072487892,3,0.213828978813557
"InsDel_J","Skin",0.264693098616421,0.0480054756153962,2,0.108985404099818
"InsDel_K","Skin",0,0.396773285663502,0,0.545495890329603
"InsDel_L","Skin",2.34214484574428,0.111560518102985,4,0.216143351447042
"InsDel_M","Skin",0,0.396677533432328,0,0.545495890329603
"InsDel_N_alpha","Skin",0.768535277895506,1,3,1
"InsDel_N_beta","Skin",0.424304007345716,4.20363981636724e-14,92,3.75644409122179e-13
"InsDel1a","MSI-H",0.199543924284123,7.16175114705778e-12,18,5.27707979256889e-11
"InsDel1b","MSI-H",0,0.271327150278802,0,0.421832775370549
"InsDel1c","MSI-H",1.5288384044862,0.18053587585557,11,0.310758474833359
"InsDel2a","MSI-H",7.29081934545695,1.48818985778966e-09,18,9.47029909502514e-09
"InsDel2b","MSI-H",58.4485321895936,1.246900333456e-38,32,3.740701000368e-37
"InsDel2c","MSI-H",37.7292673976532,3.98383846602291e-28,26,6.9717173155401e-27
"InsDel3a","MSI-H",5.57558940810258,0.00301736568901419,5,0.00974841222604583
"InsDel3b","MSI-H",1.76436464493684,0.0459736701197662,17,0.10551334125848
"InsDel4","MSI-H",1.17002495197117,0.618665077456599,12,0.75090039997693
"InsDel5a","MSI-H",0,9.74013789523728e-08,0,5.45447722133287e-07
"InsDel5b","MSI-H",1.20296129894224,0.570150872159074,1,0.710573787260567
"InsDel5c","MSI-H",0,0.272751571840429,0,0.421832775370549
"InsDel6","MSI-H",0.207757209252226,0.0110283742182688,2,0.0295026571444135
"InsDel7","MSI-H",2732.6624055634,4.15245762339472e-153,88,2.9067203363763e-151
"InsDel8","MSI-H",0.206830709595144,0.0906975985652545,1,0.180535504253113
"InsDel9","MSI-H",0,1.62724284995229e-07,0,8.87587009064885e-07
"InsDel10","MSI-H",0,0.179802163102999,0,0.310758474833359
"InsDel11","MSI-H",40.6650834578175,1.71573917701063e-15,13,1.63775103260106e-14
"InsDel12","MSI-H",1.62307972022851,0.357436438382,2,0.518415873585162
"InsDel13","MSI-H",0.43122032515914,0.327015081918309,2,0.481916962826982
"InsDel14","MSI-H",1.35434674543029,0.460641774221023,6,0.608394796140974
"InsDel17","MSI-H",1.51852039740402,0.489407319460348,1,0.629991609827891
"InsDel18","MSI-H",0,0.62999794563467,0,0.75090039997693
"InsDel19a","MSI-H",2.06771439798342,0.261056137138974,2,0.418486937398355
"InsDel19b","MSI-H",0.624892923088286,0.0703222795911943,21,0.147676787141508
"InsDel23","MSI-H",0,0.627647668084018,0,0.75090039997693
"InsDel_A_alpha","MSI-H",0,0.120072634045833,0,0.223143833182521
"InsDel_A_beta","MSI-H",1.9826368159732,0.155818109264132,4,0.273822618790524
"InsDel_B","MSI-H",0.103827046305182,9.42489572101049e-06,2,4.12339187794209e-05
"InsDel_C","MSI-H",1.58225432073744,0.475719920771009,1,0.62243727951347
"InsDel_D","MSI-H",34.2240003885833,1.19702187710273e-37,38,3.35166125588764e-36
"InsDel_E","MSI-H",0.878309807059235,1,1,1
"InsDel_F","MSI-H",0,0.629512149325713,0,0.75090039997693
"InsDel_G","MSI-H",1.37949818732385,0.522098894144724,1,0.656531543535282
"InsDel_H","MSI-H",0,1,0,1
"InsDel_I","MSI-H",0,1,0,1
"InsDel_J","MSI-H",84.5233940661267,3.20360023199196e-55,43,1.22319281585148e-53
"InsDel_K","MSI-H",3.46446610242612,0.261051362195666,1,0.418486937398355
"InsDel_L","MSI-H",5.49973417028131,0.0578390687658368,2,0.127185386814929
"InsDel_M","MSI-H",38.0301458558376,7.41086339351014e-09,7,4.44651803610609e-08
"InsDel_N_alpha","MSI-H",2.55512238009968,0.19361306417521,2,0.323974051607922
"InsDel_N_beta","MSI-H",0,1.39908989177201e-19,0,1.72828751336543e-18
