"signature","group","OR","p","n_in_grp_present","FDR"
"InsDel_J","Colon",3.70641701842381,3.3640222113576e-08,31,1.93546483393177e-07
"InsDel_K","Colon",2.04781506341965,0.266425971255846,4,0.42067258619344
"InsDel_L","Colon",0.333420314063022,0.357953817475469,1,0.518415873585162
"InsDel_M","Colon",2.86591563308399,0.0485144190172714,5,0.109548688103516
"InsDel_N_alpha","Colon",0.490806053770067,0.27675005918355,3,0.425769321820847
"InsDel_N_beta","Colon",14.0743573060239,9.91016121017176e-167,569,8.32453541654428e-165
"InsDel1a","Esophagus",0.247175212200652,1.13455437779029e-23,59,1.64314771955835e-22
"InsDel1b","Esophagus",0.716999501009064,0.66220532159208,4,0.774724888770678
"InsDel1c","Esophagus",0.810992171166045,0.481192727268423,17,0.625699521525503
"InsDel2a","Esophagus",6.87424081000823,3.14937611707205e-19,43,3.57496748424395e-18
"InsDel2b","Esophagus",1.5237369581683,0.390348144701546,5,0.54286828071076
"InsDel2c","Esophagus",0.563975548444511,0.585840422406349,2,0.727967388788954
"InsDel3a","Esophagus",0.360630262993628,0.525335391847842,1,0.658629446495802
"InsDel3b","Esophagus",0.0297742742939452,1.88847737759478e-12,1,1.46881573812927e-11
"InsDel4","Esophagus",0.282645452570408,1.52677308974313e-05,9,6.61077007930013e-05
"InsDel5a","Esophagus",0.57248403077142,0.0055242449522418,26,0.0163393160559264
"InsDel5b","Esophagus",0.430091540427887,0.728547736163374,1,0.824771022071744
"InsDel5c","Esophagus",2.53945526785412,0.00365161327614265,13,0.0115314103457136
"InsDel6","Esophagus",0.595472825265408,0.0611618208226975,15,0.132412189409964
"InsDel7","Esophagus",0.169054808091406,0.0463593825717047,1,0.105820329783239
"InsDel8","Esophagus",0.0738482092965968,7.53040909130891e-05,1,0.000301216363652356
"InsDel9","Esophagus",0.540666618836945,0.00285338304777547,24,0.00943638488240708
"InsDel10","Esophagus",0.588749273669505,0.419229284525053,4,0.564222282547806
"InsDel11","Esophagus",0,0.403309762896548,0,0.549537943775704
"InsDel12","Esophagus",0,0.0506781561918021,0,0.113822596794422
"InsDel13","Esophagus",0.152919625257587,0.000754700134306135,2,0.00270917996930408
"InsDel14","Esophagus",3.64622508774026,1.03364362138585e-09,37,6.67892801510856e-09
"InsDel17","Esophagus",0.542958820263062,1,1,1
"InsDel18","Esophagus",0.321557669797041,0.372809274634434,1,0.529050990575744
"InsDel19a","Esophagus",3.27736335212837,0.00520042515192192,8,0.0154906281121078
"InsDel19b","Esophagus",0.48143727891637,2.93414191971465e-06,47,1.36926622920017e-05
"InsDel23","Esophagus",0,0.115328287769399,0,0.219175931507455
"InsDel_A_alpha","Esophagus",0.120835124801095,0.00492677464256192,1,0.0147803239276858
"InsDel_A_beta","Esophagus",0.514619144976844,0.381606429898942,3,0.534249001858519
"InsDel_B","Esophagus",0.358848531232585,3.37303596647946e-06,18,1.55678583068283e-05
"InsDel_C","Esophagus",1.16037170129681,0.692275266647258,2,0.800979647360464
"InsDel_D","Esophagus",0.61641512873344,0.53441203741691,4,0.668015046771138
"InsDel_E","Esophagus",0.313985409569173,0.374854804830047,1,0.529050990575744
"InsDel_F","Esophagus",0,0.0762405684824705,0,0.158519993874444
"InsDel_G","Esophagus",0,0.267452637389018,0,0.420712013870366
"InsDel_H","Esophagus",0,0.417055242498689,0,0.563225729419451
"InsDel_I","Esophagus",0,1,0,1
"InsDel_J","Esophagus",0,0.0356884142456589,0,0.0832729665732042
"InsDel_K","Esophagus",0,1,0,1
"InsDel_L","Esophagus",0,0.625834157172425,0,0.75090039997693
"InsDel_M","Esophagus",0,1,0,1
"InsDel_N_alpha","Esophagus",1.3896673159199,0.483102703589915,3,0.626244245394334
"InsDel_N_beta","Esophagus",13.9107314850325,3.16733375516638e-64,219,1.33028017716988e-62
"InsDel1a","Kidney",0.327758460478837,7.32203043884694e-20,90,9.61016495098661e-19
"InsDel1b","Kidney",0.424541329488496,0.163469594438668,3,0.286071790267668
"InsDel1c","Kidney",0.680513996963049,0.137002563783296,18,0.245902037559763
"InsDel2a","Kidney",0.175497164080135,0.00213560974508854,2,0.0072923259588389
"InsDel2b","Kidney",0.229360305026133,0.130416298492146,1,0.237120542712992
"InsDel2c","Kidney",0,0.02237924396557,0,0.055289896856114
"InsDel3a","Kidney",0.288292894617358,0.262353719152322,1,0.418723114200137
