InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4a	InsDel4b	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel11	InsDel13	InsDel_D	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_Aα	InsDel_Aβ	InsDel_B	InsDel14	InsDel_F	InsDel_J	InsDel_O	InsDel1d	InsDel_E	InsDel_G	InsDel_Kβ	InsDel15	InsDel16	InsDel_N
A[Del(C):R4]G	0.00011127125	5.16e-06	8.72846197438627e-05	6.922e-05	9.104e-05	8.708e-05	0.00156365	0.00167479125	0.0002315675	0.00027912	0.00077926	0.000895491879001701	0.00039010453125	0.00032587875	0.000283597337904322	0.000672597562202178	1.663e-05	0.00058697	0.000113605	0.000409796753883612	0.000333432906774593	0.0001167125	0.00015053	0.000243479632167232	0.000947382322486979	0.000277605	3.765e-05	0	0.00010253	5.85734768855747e-05	0.000119272572782667	0.000243896772696731	0.000643968493449285	8.99065210746514e-05	0.00507335801453448	0	0.000116276966756178
A[Del(C):R4]T	0.000180891875	0.00028158	0.000362974269551568	0.0002119225	0.0002423	0.00019339	0.00336787	0.0034696125	0.000370135	0.00071855	0.0023986	0.00263664272983352	0.0006051165625	0.0005622471875	0.000780966511480731	0.0021858973303337	4.07e-05	0.000562025	0.00045461	0.000292270903561575	0.00123689818708683	0.00080327875	0.00016128	0.00113792764009282	0.000974840071865578	0.00166571	0.00024759	0.0003216	0.00016888	0.000171159731559024	0.000674649325243312	0.00195335500609726	0.0020336593402044	0.000382656249339754	0.00973536267653915	0	0.00016034536431217
A[Del(C):R5]A	0.000291971875	0.00048154	0.00140011939304587	0.00026278	0.00095335	0.00027453	0.00477876	0.0073559125	0.0002630825	0.00130619	0.00091043	0.00377125712812274	0.0008272871875	0.002419158125	0.000534441653360805	0.00259980377900942	8.423e-05	0.00077458	0.00056484	0.000171478868887526	0.000921409390283469	0.000245100625	0.00052953	0.00159518429977951	0.00203439952822558	0.00058565	8.902e-05	0	0.000832555	0.000228642779651722	0.00117027910778183	0.000247565058682779	0.00060770755673195	0.00107183042987713	0.013986013986014	0	0.000799178515152114
A[Del(C):R5]G	8.0916875e-05	4.038e-05	5.06123828742932e-05	0.00020478	0.00013552	7.239e-05	0.00054765	0.00066982	5.33725e-05	2.16e-05	0.00030425	0.000322866362519255	0.0002121775	0.0006841175	0.000140496941720067	0.000278240750523382	1.734e-05	0.0001462	0.0001262275	3.0662032959403e-05	0.000100279648436501	0.000155599375	0.00014586	7.85418168281394e-05	0.000313310672282432	9.5585e-05	6.275e-05	1.568e-05	0.000252645	4.38099304144261e-05	0.00032439129204848	0.000468161185086503	0.000280403832602019	7.02131571972174e-05	0.00219388454682572	0	0.000200002727369503
A[Del(C):R5]T	0.00013024875	6.244e-05	0.000451250265867195	0.0002597475	0.00066904	0.00045462	0.00244315	0.00328022625	0.0002414075	0.00018447	0.00094838	0.0019074416827932	0.0005418575	0.00250209125	0.000232714897238413	0.00144862754561107	7.093e-05	0.00040389	0.0001575075	0.000271115418314856	0.000603608939360495	0.00028717875	0.00016253	0.000521528277497876	0.000613115311505462	0.000576615	3.24e-05	0.00032417	0.00084904	0.000121701134600914	0.000425157578482537	0.000413681426050263	0.00121949773695454	0.000301668654740076	0.00740436034553682	0	0.000741726265521439
A[Del(C):R6]A	9.97775e-05	0.00036173	0.000362261174122755	0.0004403	0.00115979	0.00057592	0.00162023	0.00300482375	0.00018549	0.00072385	0.00020281	0.00107342751870749	0.00029769515625	0.0045655684375	0.00030292247320584	0.00121563055834409	0.00017846	0.00028551	0.00034356	0.000123591057749208	0.0004010808382299	0.0002230275	0.00055819	0.000162968963038874	0.00153608108762685	0.00031969	0.0001113	8.119e-05	0.00160986	0.000238509089590147	0.000492132182965455	0.00058586063377672	0.000838848402928472	0.000718644059973918	0.00233100233100233	0	0.00165862500121369
A[Del(C):R6]G	2.241125e-05	2.364e-05	1.84100368633812e-05	7.16925e-05	9.419e-05	9.607e-05	0.00013326	0.00056293625	5.522e-05	3.843e-05	8.49e-05	0.000144303339861888	4.458765625e-05	0.001081206875	0.000161631140995193	0.000139165400015651	3.85e-06	4.0555e-05	8.6525e-06	3.05707931374889e-05	6.78884630505797e-05	1.103125e-05	0.00011082	0.000103823790839576	0.000312758157945135	8.7195e-05	4.072e-05	0	0.000384085	4.04579218388737e-05	3.5285909616847e-05	6.8248745456932e-05	0.000258311409427315	0.000140348351750423	0.000274235568353215	0	0.000455364265411476
A[Del(C):R6]T	0.0001853925	7.937e-05	0.000208589109213539	1.15325e-05	0.00059235	0.00043236	0.00123458	0.00129151625	0.0002471375	9.815e-05	0.00017841	0.00076258710363238	0.00015564703125	0.002175095625	0.000173843188389865	0.000513191033906571	6.676e-05	0.00014404	0.00025036	8.34399177822768e-05	0.000134845818198461	3.8725e-05	0.00031267	0.000212545831471879	0.000180432206411186	0.00014411	8.743e-05	0.00021425	0.000690535	0.000112856485702894	0.000319742583755169	7.68030603432694e-05	0.000320928395821891	0.000317167628369664	0.00191964897847251	0	0.000673834349101071
A[Del(C):R7]A	0.000149388125	0.00017032	9.39372783175456e-05	0.0004988	0.00153747	0.00023984	0.00016303	0.000704195	0.0001929475	0.00022614	3.038e-05	0.000200820750894194	8.830140625e-05	0.0054734978125	0.000138695091113873	0.000360594916543189	0.00023822	0.00013691	2.94e-06	5.7259922863169e-05	0.000253148823999836	0.00010691125	0.00013387	7.14730533136068e-05	0.000602797974823369	0.00012978	0.00037115	0.00010884	0.002251865	0.000248693835673298	0.00018954554648322	0.000482671169391652	0.000494520339957041	0.000638186611353522	0	0	0.00186101742126999
A[Del(C):R7]G	2.260375e-05	6.47e-06	4.57685517297947e-05	3.22675e-05	0.00010628	0.00020578	1.924e-05	0.000114725	3.8245e-05	1.158e-05	2e-08	2.15576310231851e-05	2.673734375e-05	0.001148731875	3.40045980087141e-05	2.51093603191683e-05	1.245e-05	2.674e-05	2.609e-05	9.51739879621028e-06	1.72979881590914e-05	6.933125e-06	6.433e-05	6.34384377272688e-05	5.99812556398931e-05	2.7155e-05	1.286e-05	0	0.00053387	5.07844663890862e-05	1.8616969879403e-05	0.000124853318720009	0.000459546535768774	7.07433031764991e-05	0	0	0.000387199690692231
A[Del(C):R7]T	2.4911875e-05	0.00010726	0.000100955180891352	0.0001197825	0.00051694	8.897e-05	0.00010118	0.00050648125	0.0001079375	4.346e-05	4.054e-05	0.000124700458508456	4.223078125e-05	0.0008664615625	3.57079027934549e-05	8.57304667055991e-05	1.367e-05	2.718e-05	8.5435e-05	0.000114202780085916	4.25888142100655e-05	2.5189375e-05	4.41e-05	0.000212253953098531	0.000207374910474895	8.327e-05	1.034e-05	0.0001753	0.00031579	7.47838862548766e-05	0.000169810672942807	0.000616696314869043	0.000147376674578275	0.000389548147070416	0	0	0.000304400706123646
A[Del(C):R8]A	0.00032208875	0.00010946	9.88680723192164e-05	0.000663345	0.0005858	5.59e-06	3.253e-05	0.0001568075	0.000327405	4.437e-05	6.56e-06	2.47336316023824e-05	0.00017986578125	0.002481601875	4.29838158008615e-05	0.000198697018528497	0.00021901	4.376e-05	0.0002442475	9.55514319547771e-05	0.000447552479485792	0.00013838625	0.00018457	0.00035283319146187	0.000470003187485234	0.000153195	0.00048958	0.00017125	0.001377505	0.00039147362244047	0.00032615116018809	0.000771395623701237	0.000404974127680872	0.000465187504290869	0	0	0.00106734319552645
A[Del(C):R8]G	2.4764375e-05	0	1.12703862895333e-05	2.2135e-05	2.609e-05	3.865e-05	2.4e-07	7.28125e-06	3.05575e-05	2.78e-06	1e-08	1.93417021576793e-06	5.73375e-06	0.0001125940625	1.55593819231795e-05	1.64512668911296e-05	1.115e-05	4.205e-06	1.869e-05	8.92803808961119e-06	3.13965282804892e-05	3.2745625e-05	4.11e-05	9.25572856283499e-05	3.5024829185946e-05	1.2415e-05	4.118e-05	0	0.00019302	5.38143771112768e-05	1.66468030312854e-05	3.97892473247188e-05	9.69170571496597e-05	9.74533050150141e-06	0	0	0.00015442028974042
A[Del(C):R8]T	0.000120714375	8.36e-06	5.17689888746851e-05	0.0003020125	0.00015597	2.726e-05	3.251e-05	1.561125e-05	0.0001564675	1.417e-05	4.69e-06	1.82472474785874e-05	2.396890625e-05	0.0003667928125	2.1617779641222e-05	3.13461225342809e-05	2.859e-05	1.386e-05	7.65425e-05	2.21920348070522e-05	6.79659605389607e-05	3.4138125e-05	2.794e-05	0.00012716344694837	0.000299072643225309	1.566e-05	0.00016281	0	0.00030011	0.00014810769303018	7.06714344114079e-05	7.98694032995849e-05	7.09732921106348e-05	7.00572319091934e-05	0	0	0.000306533470798035
A[Del(C):R(9,)]A	0.000606598125	3.74e-06	4.7012120587359e-05	0.0005653775	4.14e-06	8.18e-06	2.756e-05	5.25725e-05	0.00030193	0.00018245	6.36e-06	2.34130915753431e-05	0.000166865	0.000112248125	6.24861383142636e-05	6.13137093917811e-05	6.332e-05	5.94e-06	0.00015976	0.000225184135952341	0.000514779399131576	0.000311998125	0.00031583	0.000173396981286664	0.00111789616071638	6.944e-05	0.00026145	0.00010008	0.000409415	0.000520507716541271	9.05944699541697e-05	0.000320418129805044	0.000140609173077785	4.15852743160068e-05	0	0	0.000381876299578099
A[Del(C):R(9,)]G	4.5385e-05	1.543e-05	1.86187477205948e-05	5.728e-05	1.41e-06	1.535e-05	4.58e-06	3.42125e-06	7.95275e-05	0.0001621	1.41e-06	3.02503249327517e-06	4.4525e-06	4.31625e-06	1.14903255064618e-05	2.80765471912067e-05	8.11e-06	1.5195e-05	1.045e-06	2.91140295743886e-05	1.95224192333539e-05	1.3790625e-05	1.151e-05	5.03463659627404e-05	5.42366718028655e-05	1.6535e-05	5.193e-05	0	6.8115e-05	4.42464757199653e-05	1.85173547016892e-05	4.99722618582345e-05	0.000113126882437609	8.91892647497409e-06	0	0	7.19804800463171e-05
A[Del(C):R(9,)]T	3.6745625e-05	0	9.70505486043148e-06	4.04525e-05	4.65e-06	2.576e-05	2.8e-07	9.7175e-06	6.5805e-05	1.462e-05	1e-08	3.81641258112734e-06	3.278859375e-05	2.54046875e-05	1.95026779859367e-05	3.11826993532432e-05	6.09e-06	4.17e-06	1.31075e-05	0.000244333851145594	3.96351678049058e-05	2.4609375e-05	6.587e-05	7.29112176622842e-05	5.87994329816145e-05	7.813e-05	4.18e-06	0	6.4405e-05	6.16994134349303e-05	5.31280947806982e-07	6.07962958954905e-05	6.29789924183771e-05	7.34408106593146e-06	0	0	4.76562137291956e-05
G[Del(C):R1]A	0.00036129875	0.00011159	0.0013882228741847	0.001176295	6.32e-06	0.00010216	0.00833445	0.01238177625	0.0020127275	0.00445288	0.0052381	0.0065870436940212	0.0021837578125	5.47346875e-05	0.00322930886644732	0.0109359190770119	0.00044893	0.000625795	0.0016826575	0.000824130781935989	0.00224333166183878	0.001645835	0.00113626	0.0256240342374818	0.00393833043109977	0.007251035	0.00264677	0.00042554	2.5715e-05	0.000264564831827836	0.000702486233237782	0.000726290694183154	0.00574795175734768	4.59511823806795e-05	0.00315370903606198	0	2.46231417601213e-05
G[Del(C):R1]G	4.996125e-05	2.03e-06	0.000303561245531435	0.000485235	2.598e-05	7.939e-05	0.00151891	0.00413726625	0.0007204225	0.00047844	0.00065457	0.00112580623572581	0.0005547659375	5.56790625e-05	0.000517356264021018	0.00128589696757871	7.39e-06	0.000481095	9.3325e-05	0.000125969771363509	0.00150776469192013	0.000666906875	0.00046862	0.000633009895478195	0.00085397448794296	0.00123083	0.00011431	1.134e-05	0.0001329	0.000127337147678745	0.000250842085836451	0.000824966145049628	0.000409700317436043	1.2676725916353e-05	0.00150829562594268	0	0.000203131743520558
G[Del(C):R1]T	0.000757313125	0.00098348	0.00435930019319147	0.0033571725	0.00014042	0.00014655	0.00759698	0.01043416125	0.00330551	0.00272788	0.00826134	0.00538215548879544	0.00784505109375	0.0001310084375	0.00495109932469569	0.0347167678886319	0.00010236	0.00455305	0.005373745	0.000216615748748279	0.0039189381405113	0.00187048875	0.00175785	0.066481869446805	0.00341128256547	0.006739895	0.01204837	0.00023021	1.766e-05	0.000603617908552104	0.00377966548293582	0.00182982382371907	0.0165547164714018	0.000396486822387485	0.00383929795694502	0	5.65451364440264e-05
G[Del(C):R2]A	0.00087405375	2.491e-05	0.00105726832864398	0.0012254725	2.529e-05	0.00020072	0.0201557	0.0320069825	0.0024708275	0.00300995	0.00536101	0.015866382257095	0.00249315609375	7.7073125e-05	0.00211096709741335	0.00728944985646125	3.746e-05	0.00064377	0.001561205	0.000123296450951771	0.00358274672439131	0.0021707875	0.00141295	0.0296909985022765	0.00545001884285226	0.005566875	0.00136558	0.0006088	4.14e-05	0.000432675681286345	0.00185764597071327	0.00159917709845647	0.00965855199661959	1.87578121492899e-05	0.0175510763746058	0	4.17416260150949e-05
G[Del(C):R2]G	5.2445625e-05	2.86e-05	0.000155341751766924	0.0001261875	3.16e-06	5.117e-05	0.00231408	0.0062944075	0.0003223125	0.00172231	0.00082975	0.00189432715433957	0.000266851875	2.8313125e-05	0.000568420843621024	0.00108359018667722	1.429e-05	0.00014047	9.30325e-05	4.64773747668165e-05	0.000930610964750201	0.0003637275	0.00066429	0.00289358136265945	0.000925023868624342	0.001420335	3.54e-05	3.7e-07	1.28e-05	6.669178933772e-05	0.000200414669207105	0.000611317757879493	0.00039967476172135	8.59148337012365e-06	0.00603318250377074	0	1.82130500220999e-05
G[Del(C):R2]T	0.00022713	7.75e-05	0.000662109105652932	0.001638595	6.111e-05	0.00011497	0.00959666	0.01985681875	0.00174938	0.00268269	0.00676959	0.00701135015256269	0.00239217765625	0.00013571625	0.00345336014198519	0.0104025525064423	6.556e-05	0.002026195	0.001388525	0.000468912219487552	0.00196120521064382	0.001792403125	0.00105877	0.0230911349410875	0.00248811351689973	0.007837335	0.00212821	0.00050023	2.518e-05	0.00033683749747342	0.00169775254212953	0.00069145554776188	0.00669189252012997	0.000146866028789827	0.0122034827917181	0	7.48748527574728e-05
G[Del(C):R3]A	0.00018796	9.42e-05	0.000689606761090821	0.0005846625	5.22e-06	0.00029243	0.01196504	0.01973962875	0.0006517975	0.00303832	0.00310744	0.00945975915315186	0.00224342203125	0.0001398346875	0.000966030165005744	0.00394141359893183	2.374e-05	0.000171745	0.00055399	0.000205633413871548	0.00214680086559187	0.000938549375	0.00062434	0.0132810019821566	0.00126187828202507	0.003348025	0.00034883	0	6.7465e-05	0.000269514144678781	0.000980158006938485	0.000768365897241677	0.00409978860959912	6.28378910736811e-05	0.0282462635403812	0	4.2429826048318e-05
G[Del(C):R3]G	4.236875e-05	0	0.000134853302617125	0.00013622	6.45e-06	0.00011002	0.00308709	0.0052140025	0.000520665	0.00125293	0.00067125	0.00197590610234807	0.0007237875	5.0243125e-05	0.000635465309298155	0.000692686384524297	1.424e-05	0.000147445	0.000101935	0.000370333320931805	0.000583349104200161	0.00017214	0.00021314	0.00145295462188688	0.000750806267166135	0.000998335	0.00040922	8e-07	2.7255e-05	6.29419399365651e-05	0.00010346696458541	0.000280484254231845	0.000999478520266993	9.87007073192063e-06	0.00754147812971342	0	5.07170653055309e-06
G[Del(C):R3]T	0.000316908125	5.33e-06	0.000244435198939971	0.0006360325	4.798e-05	0.00016987	0.00558456	0.0084861275	0.0009297125	0.00105055	0.0041765	0.00379982483630406	0.00094898578125	0.0001517596875	0.00105778984038058	0.00386835676667405	2.807e-05	0.00044949	0.000503545	0.000222960261716927	0.000945106937722551	0.000866806875	0.00067246	0.00800238690704093	0.00133531408532274	0.002435155	0.00052175	0.0001104	3.3625e-05	0.000120300962825695	0.000493072992977196	0.000923064423336885	0.00176720279524158	8.18607762126119e-05	0.0218017276840806	0	7.54830905011214e-05
G[Del(C):R4]A	0.000219473125	0.00012705	0.000901970058305639	0.000379825	0.0001631	0.0024558	0.00525984	0.006480025	0.0006209775	0.00081979	0.00168551	0.00400590551388125	0.00067321203125	0.000492535625	0.000661611530699337	0.00162990165194077	3.598e-05	0.000145955	0.0005463875	0.000205023149083874	0.000898510539814195	0.000692586875	0.00024128	0.00352861848611253	0.000763754246054012	0.001043855	0.00032769	0.00040662	0.00026772	0.000144941106177731	0.00159958731866911	0.000613229823122705	0.0015428596177142	0.000143170599463658	0.0200191964897847	0	0.000321304209796813
G[Del(C):R4]G	0.000123398125	3.29e-06	5.55344805902468e-05	0.0004756675	3.059e-05	0.00125262	0.00089093	0.00110933625	0.000151575	0.00010298	0.00040258	0.000677146872255139	0.00032936234375	0.0002049090625	0.000263608972097877	0.000599021555620969	3.27e-06	0.00022607	5.13825e-05	0.000365852860021236	0.000372841347091341	0.000252213125	0.00019163	0.000442625592862689	0.000988103811701758	0.000385175	2.389e-05	2.048e-05	0.0001148	6.53738644242851e-05	0.000338293143516096	0.000184677523440726	0.000803351701150271	7.25520365175777e-05	0.00836418483477307	0	0.000237856350911189
G[Del(C):R4]T	0.00021662375	5.333e-05	0.000499392903597794	0.00030054	9.037e-05	0.00067009	0.00280601	0.00364283875	0.0002420775	0.00025144	0.00205352	0.00208762557466734	0.0006506421875	0.0005294728125	0.000569912407394727	0.00189660605994967	1.945e-05	0.000554725	0.00039335	0.000141195989178557	0.000710583564702419	0.00043738	0.00021804	0.00331368986573823	0.000513107200839319	0.001587985	0.00022697	0.00014078	0.000155705	0.000118582765318573	0.00046887757314582	0.000518790156687106	0.0018729588328057	0.000176460648456786	0.0141231317701906	0	0.000185002588359651
G[Del(C):R5]A	0.00018291875	9.32e-05	0.000763133856830022	0.0005089825	0.00046838	0.00240263	0.00345605	0.00533961875	0.0006789575	0.00123037	0.00073605	0.00263991108111668	0.00051727421875	0.0014359790625	0.000368249911368942	0.00220521906425503	2.394e-05	0.000517925	0.000351945	0.00017505954397332	0.000935745959302122	0.000301085	0.00040763	0.00147036118669744	0.00105916169958069	0.000697825	4.008e-05	0.0002349	0.00058945	0.000130881792442479	0.000466232236759864	0.000581685236453618	0.00220006144247796	0.000301185286347202	0.0141231317701906	0	0.00112177129758256
G[Del(C):R5]G	1.5265e-05	1.321e-05	8.2545144027971e-05	0.0003705975	4.037e-05	0.00065343	0.00037793	0.00103718625	9.24725e-05	0.00017851	0.00013802	0.000352837965934424	0.00025692015625	0.00059023375	9.14630279879599e-05	0.000484271801196816	7.4e-06	0.00024901	0.00011729	3.89456825040405e-05	0.000124661657293042	4.954625e-05	3.988e-05	0.000276334523247165	0.000236277246081357	0.000275945	0.00010257	3.32e-05	0.000237375	4.19921775733945e-05	7.05496825275355e-05	0.000206528482221286	0.000415140463515932	4.52027409981642e-05	0.00617030028794735	0	0.000381168436686784
G[Del(C):R5]T	0.00034548625	8.9e-07	0.000281881405238375	0.0001315	0.00042572	0.0019047	0.00181487	0.0030787925	0.00036098	0.00091283	0.00078584	0.00145836522606962	0.00016638890625	0.0014729390625	0.000342925738864957	0.00139002532695773	3.296e-05	0.000220475	0.000199325	0.000302363399218134	0.00050151474672255	0.0002330775	2.853e-05	0.00065935855227223	0.000282931337388319	0.000527885	0.00014251	4.04e-05	0.000623145	0.000128807999381313	0.000561785328893566	0.000274185388372945	0.000255163968164828	0.000222053202675011	0.00987248046071575	0	0.000865611447502049
G[Del(C):R6]A	8.062625e-05	9.285e-05	0.000890082235730182	9.9675e-05	0.0007325	0.00316235	0.00212223	0.00252984875	0.00022374	0.00017323	0.00025652	0.001320843404226	0.00027638953125	0.0018540834375	0.000189461820421499	0.000766862721158298	3.748e-05	0.00010484	6.79775e-05	0.00028316675319546	0.000740437680717773	0.000328891875	0.00016979	0.000420665725427902	0.000842601139270271	0.000495545	0.00038936	8.721e-05	0.00107948	0.000150650462674896	0.000758658125115291	0.000680945728649444	0.000277377060014133	0.000269298564946289	0.00521047579871109	0	0.001787271216567
G[Del(C):R6]G	3.4068125e-05	0	8.98500240304463e-05	0.0004319	3.735e-05	0.00077105	0.0001543	0.00067470375	0.0001587725	0.00012501	6.03e-05	0.000153319118239189	6.86909375e-05	0.0008942825	0.000120349579716081	0.0002684509237736	9.95e-06	0.000199595	9.412e-05	9.35036860231211e-05	0.000272335274100132	0.00013848375	0.00019225	4.1743914268253e-05	0.000466243667964872	0.00015969	4.162e-05	0.00015507	0.0005204	4.63502556770017e-05	7.84746233323229e-05	6.74088933692593e-05	0.000221266126325079	5.27807099961316e-05	0.00109694227341286	0	0.00058386628647211
G[Del(C):R6]T	4.1559375e-05	2.993e-05	0.000446215116436917	0.000219685	0.00019985	0.00136366	0.00071587	0.0009602175	0.00010489	0.00023197	0.00016347	0.000417196613151481	0.0001395075	0.001399311875	0.000237143094367637	0.000824285402430134	2.836e-05	8.841e-05	5.61375e-05	9.45952052605757e-05	9.33726457617453e-05	5.2645e-05	9.044e-05	0.0002932157069857	0.00080512162064639	6.5945e-05	0.00011863	0.00048984	0.000501275	8.71344091404635e-05	0.000407658512264145	0.000117341512570312	0.00022526830403265	0.000107510486092564	0.00260523789935555	0	0.000895189629501377
G[Del(C):R7]A	5.1363125e-05	0.00015235	0.00048375698187821	0.00026246	0.00069259	0.00186275	0.00017284	0.0006272475	0.0001381525	0.00015034	7.94e-06	0.000203394254039177	7.1688125e-05	0.0019332790625	3.07534375401738e-05	0.000159531041195445	1.893e-05	4.5405e-05	0.0001606975	8.84342474125763e-05	0.000117398817850975	8.224875e-05	0.00013363	0.000218176430637734	0.000610584049739463	0.0001562	4.883e-05	6.85e-05	0.000876585	0.000113811678486464	0.00019679531775017	9.01583957082565e-05	0.000365243966568784	0.000362152073964595	0.000137117784176608	0	0.000948511368075507
