InsDel1a	InsDel1b	InsDel1c	InsDel2a	InsDel2b	InsDel2c	InsDel3a	InsDel3b	InsDel4a	InsDel4b	InsDel5a	InsDel5b	InsDel6	InsDel7	InsDel8	InsDel9	InsDel11	InsDel13	InsDel_D	InsDel18	InsDel19a	InsDel19b	InsDel19c	InsDel_Aα	InsDel_Aβ	InsDel_B	InsDel14	InsDel_F	InsDel_J	InsDel_O	InsDel1d	InsDel_E	InsDel_G	InsDel_Kβ	InsDel15	InsDel16	InsDel_N
A[Del(C):R1]A	0.0016330725	0.00126681	0.00317339640621819	0.00258477	6.22e-05	0.00060548	0.01614575	0.02264100625	0.0093548975	0.01130816	0.01050024	0.0120502400146803	0.00470488890625	0.000513879375	0.00656275014330166	0.0277166359838903	0.00076491	0.00797728	0.0032407825	0.000997538470990425	0.00999342218579278	0.0057269575	0.00305114	0.0214161245596371	0.00660379435843811	0.010036575	0.00501433	0.00235753	0.000829605	0.0017975809834517	0.00483119223052971	0.00340088394654386	0.000926393526350856	0.000286091718466477	0.00370218017276841	0	0.0015778329390277
A[Del(C):R1]G	0.000307180625	8.589e-05	0.000329606621254547	0.00053269	3.71e-06	0.00010591	0.00227447	0.0031122625	0.0015492425	0.00201804	0.00117319	0.00171748829164008	0.000817901875	0.0002108334375	0.000916981996821523	0.00216041554303734	2.861e-05	0.00168152	0.000219305	0.000443749383885655	0.00158949167270195	0.00078868	0.00243478	0.00159829413117554	0.00066426168108	0.0012789	5.88e-05	0.00050291	3.693e-05	0.000169086033714465	0.000610939884918791	0.000378128525533604	0.00103837405637976	3.80145852202567e-05	0.00109694227341286	0	6.32921184840256e-05
A[Del(C):R1]T	0.00083781875	0.00317204	0.00287578342011734	0.004845875	0.00027178	7.891e-05	0.00912754	0.00737479875	0.0049523525	0.00870521	0.01051907	0.00645332628002467	0.0088222075	0.0002829490625	0.0060111938072471	0.0413064474659459	0.00037409	0.00766358	0.00305897	0.00121650001466917	0.00666367296257121	0.004186925625	0.00379308	0.0157098705194102	0.00404951265685061	0.009184915	0.00435206	0.00026019	6.0375e-05	0.000815602048960859	0.00338986022418861	0.00293387444412679	0.00259046482770087	0.00126322872092662	0.00150829562594268	0	9.8340507604573e-05
A[Del(C):R2]A	0.00088255875	0.00297053	0.00109952358094401	0.00057092	0.00027501	0.00015925	0.02083013	0.0241848625	0.001346115	0.00320039	0.00656175	0.0166344444029511	0.0017493784375	0.0001988875	0.00190935405555386	0.0064146577973119	7.751e-05	0.00157169	0.0007686825	0.000398068154294572	0.00331049043881951	0.002412500625	0.00072713	0.0105655566441911	0.0017345991066021	0.006265655	0.00010187	0.00074625	0.000160595	0.000561769580341357	0.0016804859113258	0.00127007317607755	0.000773094030994292	0.000573352876593134	0.0156314273961333	0	0.00025827950618284
A[Del(C):R2]G	7.169375e-05	6.981e-05	0.000156967957196047	0.000270225	2.335e-05	6.1e-06	0.00260207	0.004384885	0.0004144575	0.00047093	0.00059413	0.00194551972530056	8.0574375e-05	3.2968125e-05	0.000196487366009896	0.000699321143329964	9.7e-06	0.000346545	6.5055e-05	0.000281505710094327	0.000521953581693725	0.000144315625	0.0005136	0.000601444576120508	0.000502478019136496	0.000717485	1.347e-05	0	7.07e-06	3.86943474951941e-05	0.000217946940484735	0.000281223668850624	0.000334674569003421	4.20530501800789e-05	0.00452488687782805	0	1.3613252085757e-05
A[Del(C):R2]T	0.000618920625	0.00066936	0.000709382114811808	0.00155913	0.00014974	0.00011603	0.01005348	0.0121496625	0.00223226	0.00377014	0.00802381	0.00690598844633545	0.00242386484375	9.22959375e-05	0.00359435712887723	0.0148543122418638	0.00035542	0.00183205	0.0016930325	0.000218989618038152	0.00418532002252934	0.002533004375	0.00093779	0.0126460444618963	0.00331792855896452	0.007208905	0.00155359	0.00101784	7.1435e-05	0.000392038556850907	0.00153266805595159	0.000790957380832802	0.00252036638348109	0.000491570063024534	0.013986013986014	0	0.00013974524331769
A[Del(C):R3]A	0.000194748125	0.0010057	0.00155231308938316	0.0006013125	0.00025929	0.00017879	0.01346382	0.0143541	0.0006601475	0.00307444	0.00478462	0.0104850321648383	0.0017442509375	0.000328015	0.000976254575495593	0.0042345847802126	0.000386	0.00047562	0.00045484	0.000138386678525051	0.0021041762596652	0.000861368125	0.00070979	0.004997095730582	0.00179899412750993	0.00403869	0.00074492	0.00045827	0.000153535	0.000297528274575064	0.000871477848052719	0.00127149997790757	0.0021922481457976	0.000665021353422456	0.0159056629644865	0	0.000167922118963655
A[Del(C):R3]G	0.0001151075	1.823e-05	4.88122517308261e-05	0.0001101275	2.855e-05	2.574e-05	0.00169514	0.00226818875	0.0001628825	0.0003173	0.00085873	0.00130591030455334	0.0003338025	0.000110440625	0.000232584339628557	0.000533944666176041	8.31e-06	0.000163335	0.0001656625	5.73522169394993e-05	0.000553051224733955	0.000234874375	7.685e-05	0.000492711921729174	0.000193685713431829	0.000429465	0.0001141	0.00024633	3.2135e-05	4.05261503734755e-05	0.000215345877511097	0.000143521023522877	0.000599642866979509	9.71258619101637e-05	0.00383929795694502	0	2.44120937499329e-05
A[Del(C):R3]T	0.00028376	0.00041374	0.000623514989639854	0.0005057925	0.00015769	6.644e-05	0.00665992	0.0067426275	0.0009471875	0.00279606	0.00566527	0.00462963826955096	0.00126352828125	0.00024789625	0.00121743994114034	0.00454662300098583	3.992e-05	0.0008125	0.0005161925	0.000414519471081512	0.00211575822446905	0.001472503125	0.00016122	0.00293825998129972	0.00139569088149406	0.00321555	0.00034252	0	3.781e-05	0.000250853068839196	0.000980600741061657	0.000569496774309033	0.00122356024899941	0.000255826620061014	0.0113807760866584	0	0.000150038094100296
A[Del(C):R4]A	0.000597553125	0.00055488	0.000436727468719417	0.0004229925	0.0004777	0.00035683	0.00671716	0.00663692375	0.001043785	0.00118184	0.00296953	0.00504861644693104	0.00106405203125	0.001001506875	0.000839706104412419	0.00308196664296523	7.639e-05	0.000709725	0.0007950975	5.97755127356002e-05	0.00134435652165709	0.001023513125	0.00018121	0.00236513291427347	0.00284425280377488	0.00168215	0.00025499	8.4e-07	0.00034334	0.000309566454835305	0.000680581962493823	0.000471800036610745	0.00372550454815821	0.000854844799062901	0.0202934320581379	0	0.000363465310117872
